팀,선수,계약금(만원),포지션
NC 다이노스,박성재,8000,포수
두산 베어스,이병헌,27000,투수
KT 위즈,박영현,30000,투수
LG 트윈스,조원태,25000,투수
키움 히어로즈,주승우,18000,투수
KIA 타이거즈,김도영,40000,내야수
롯데 자이언츠,이민석,20000,투수
삼성 라이온즈,이재현,22000,내야수
SSG 랜더스,윤태현,25000,투수
한화 이글스,문동주,50000,투수
한화 이글스,박준영,20000,투수
한화 이글스,허인서,11000,포수
한화 이글스,유민,9000,외야수
한화 이글스,양경모,7000,투수
한화 이글스,권광민,0,외야수
한화 이글스,김겸재,5000,투수
한화 이글스,이성민,4000,투수
한화 이글스,이재민,4000,투수
한화 이글스,신현수,3000,투수
한화 이글스,노석진,3000,내야수
SSG 랜더스,신현민,18000,투수
SSG 랜더스,김도현,10000,투수
SSG 랜더스,박상후,8000,투수
키움 히어로즈,노운현,6000,투수
SSG 랜더스,이기순,6000,투수
SSG 랜더스,강매성,5000,투수
SSG 랜더스,김태윤,4000,내야수
SSG 랜더스,임성준,4000,투수
SSG 랜더스,전영준,3000,투수
SSG 랜더스,최유빈,3000,내야수
삼성 라이온즈,김영웅,17000,내야수
삼성 라이온즈,김재혁,11000,외야수
삼성 라이온즈,차동영,8000,포수
삼성 라이온즈,신정환,7000,투수
삼성 라이온즈,김서준,6000,투수
삼성 라이온즈,조민성,5000,내야수
삼성 라이온즈,강도훈,5000,외야수
삼성 라이온즈,김상민,4000,외야수
삼성 라이온즈,장재혁,3000,투수
삼성 라이온즈,윤정훈,3000,내야수
롯데 자이언츠,조세진,13000,외야수
롯데 자이언츠,진승현,12000,투수
롯데 자이언츠,윤동희,8000,내야수
NC 다이노스,조효원,8000,내야수
롯데 자이언츠,하혜성,6000,투수
롯데 자이언츠,한태양,5000,내야수
롯데 자이언츠,김동혁,3000,외야수
롯데 자이언츠,엄장윤,2000,포수
롯데 자이언츠,김서진,2000,내야수
롯데 자이언츠,김용완,2000,내야수
KIA 타이거즈,최지민,15000,투수
KIA 타이거즈,윤도현,10000,내야수
KIA 타이거즈,강병우,8000,투수
KIA 타이거즈,김찬민,7000,투수
KIA 타이거즈,이성주,6000,포수
KIA 타이거즈,백도렬,5000,외야수
KIA 타이거즈,황동하,4000,투수
KIA 타이거즈,한승연,3000,외야수
KIA 타이거즈,신명승,3000,포수
KIA 타이거즈,손진규,3000,투수
키움 히어로즈,박찬혁,13000,외야수
키움 히어로즈,송정인,10000,투수
키움 히어로즈,백진수,7000,투수
키움 히어로즈,윤석원,6000,투수
키움 히어로즈,주승빈,5000,투수
키움 히어로즈,이명종,5000,투수
키움 히어로즈,김리안,4000,포수
키움 히어로즈,이세호,2000,내야수
키움 히어로즈,박정훈,2000,포수
키움 히어로즈,김민수,2000,내야수
LG 트윈스,김주완,13000,투수
LG 트윈스,최용하,10000,투수
LG 트윈스,이주헌,7000,포수
LG 트윈스,이지훈,7000,투수
LG 트윈스,허준혁,6000,투수
LG 트윈스,최원영,5000,외야수
LG 트윈스,김성우,5000,포수
LG 트윈스,문정빈,4000,내야수
LG 트윈스,양진혁,3000,투수
LG 트윈스,엄태경,3000,내야수
KT 위즈,이상우,16000,투수
KT 위즈,한지웅,10000,투수
롯데 자이언츠,김세민,8000,내야수
KT 위즈,안현민,7000,포수
KT 위즈,우종휘,6000,투수
KT 위즈,최동희,5000,외야수
KT 위즈,정정우,4000,투수
KT 위즈,권성준,4000,투수
KT 위즈,김병준,3000,외야수
KT 위즈,송현제,3000,투수
두산 베어스,김동준,13000,투수
두산 베어스,이원재,10000,투수
두산 베어스,신민철,8000,내야수
두산 베어스,전희범,,외야수
두산 베어스,윤태호,,투수
두산 베어스,정유석,,투수
두산 베어스,강동형,,외야수
두산 베어스,임준형,,투수
두산 베어스,김시완,,외야수
두산 베어스,강산,,포수
NC 다이노스,이준혁,12000,투수
NC 다이노스,박동수,10000,투수
NC 다이노스,김녹원,8000,투수
NC 다이노스,이한,7000,내야수
NC 다이노스,임지민,6000,투수
NC 다이노스,이주형,5000,투수
NC 다이노스,이현우,4000,투수
NC 다이노스,오승택,4000,외야수
NC 다이노스,조민석,3000,투수
NC 다이노스,서준교,3000,내야수