연도,선수이름,소속팀,생년월일,수상카테고리,수상내역,선수구분,pid
2021,미란다,두산,1989-01-31,최고영예,MVP,투수,14751
2021,미란다,두산,1989-01-31,투수부문,평균자책점상,투수,14751
2021,미란다,두산,1989-01-31,투수부문,탈삼진상,투수,14751
2021,미란다,두산,1989-01-31,수비부문,골든글러브_투수,투수,14751
2021,이정후,키움,1998-08-20,타격부문,타격왕,타자,12906
2021,이정후,키움,1998-08-20,수비부문,골든글러브_외야수1,타자,12906
2021,양의지,NC,1987-06-06,타격부문,타점왕,타자,10165
2021,양의지,NC,1987-06-06,수비부문,골든글러브_지명타자,타자,10165
2021,최정,SSG,1987-02-28,타격부문,홈런왕,타자,10106
2021,최정,SSG,1987-02-28,수비부문,골든글러브_3루수,타자,10106
2021,뷰캐넌,삼성,1992-08-01,투수부문,최다승,투수,14617
2021,뷰캐넌,삼성,1992-08-01,투수부문,승률상,투수,14617
2021,요키시,키움,1992-02-24,투수부문,최다승,투수,13940
2021,오승환,삼성,1982-07-15,투수부문,세이브상,투수,10367
2021,강민호,삼성,1985-08-18,수비부문,골든글러브_포수,타자,10232
2021,강백호,KT,1999-07-29,수비부문,골든글러브_1루수,타자,13168
2021,정은원,한화,1995-12-02,수비부문,골든글러브_2루수,타자,13137
2021,김혜성,키움,1999-01-25,수비부문,골든글러브_유격수,타자,12905
2021,구자욱,삼성,1993-02-27,수비부문,골든글러브_외야수3,타자,10892
2021,홍창기,LG,1992-08-14,수비부문,골든글러브_외야수2,타자,12546
2021,박경수,KT,1995-07-21,특별상,한국시리즈_MVP,타자,10469
2021,이의리,KIA,2002-06-16,신인부문,신인상,타자,14788
2021,고영표,KT,1991-01-03,특별상,페어플레이상,투수,11308
2022,이정후,키움,1998-08-20,최고영예,MVP,타자,12906
2022,이정후,키움,1998-08-20,타격부문,타격왕,타자,12906
2022,이정후,키움,1998-08-20,타격부문,타점왕,타자,12906
2022,이정후,키움,1998-08-20,수비부문,골든글러브_외야수1,타자,12906
2022,안우진,키움,1999-08-15,투수부문,평균자책점상,투수,13091
2022,안우진,키움,1999-08-15,투수부문,탈삼진상,투수,13091
2022,안우진,키움,1999-08-15,수비부문,골든글러브_투수,투수,13091
2022,박병호,KT,1986-07-08,타격부문,홈런왕,타자,10470
2022,박병호,KT,1986-07-08,수비부문,골든글러브_1루수,타자,10470
2022,켈리,LG,1988-08-28,투수부문,최다승,투수,13934
2022,엄상백,KT,1989-08-26,투수부문,승률상,투수,11318
2022,고우석,LG,1998-07-04,투수부문,세이브상,투수,12907
2022,양의지,두산,1987-06-06,수비부문,골든글러브_포수,타자,10165
2022,오지환,LG,1990-08-05,수비부문,골든글러브_유격수,타자,10475
2022,김혜성,키움,1999-01-25,수비부문,골든글러브_2루수,타자,12905
2022,최정,SSG,1987-02-28,수비부문,골든글러브_3루수,타자,10106
2022,나성범,KIA,1989-04-03,수비부문,골든글러브_외야수3,타자,11162
2022,피렐라,삼성,1991-07-11,수비부문,골든글러브_외야수2,타자,14757
2022,이대호,롯데,1982-06-21,수비부문,골든글러브_지명타자,타자,10251
2022,김강민,SSG,1995-12-28,특별상,한국시리즈_MVP,타자,10108
2022,정은원,한화,1995-12-02,특별상,올스타_MVP,타자,13137
2022,정철원,두산,2000-01-29,신인부문,신인상,타자,13071
2022,이지영,키움,1994-01-21,특별상,페어플레이상,타자,10312
2023,페디,NC,1991-04-26,최고영예,MVP,투수,15535
2023,페디,NC,1991-04-26,투수부문,평균자책점상,투수,15535
2023,페디,NC,1991-04-26,투수부문,탈삼진상,투수,15535
2023,페디,NC,1991-04-26,투수부문,최다승,투수,15535
2023,페디,NC,1991-04-26,수비부문,골든글러브_투수,투수,15535
2023,노시환,한화,1999-09-07,타격부문,홈런왕,타자,14125
2023,노시환,한화,1999-09-07,타격부문,타점왕,타자,14125
2023,노시환,한화,1999-09-07,수비부문,골든글러브_3루수,타자,14125
2023,손아섭,NC,1991-05-21,타격부문,타격왕,타자,10261
2023,손아섭,NC,1991-05-21,수비부문,골든글러브_외야수1,타자,10261
2023,쿠에바스,KT,1992-12-19,투수부문,승률상,투수,13942
2023,서진용,SSG,1991-02-13,투수부문,세이브상,투수,10784
2023,양의지,두산,1987-06-06,수비부문,골든글러브_포수,타자,10165
2023,오지환,LG,1990-08-05,수비부문,골든글러브_유격수,타자,10475
2023,오지환,LG,1990-08-05,특별상,한국시리즈_MVP,타자,10475
2023,박병호,KT,1986-07-08,수비부문,골든글러브_1루수,타자,10470
2023,김혜성,키움,1999-01-25,수비부문,골든글러브_2루수,타자,12905
2023,구자욱,삼성,1993-02-27,수비부문,골든글러브_외야수2,타자,10892
2023,홍창기,LG,1992-08-14,수비부문,골든글러브_외야수3,타자,12546
2023,박건우,NC,1995-09-04,수비부문,골든글러브_지명타자,타자,10189
2023,문동주,한화,2003-06-20,신인부문,신인상,타자,15013
2023,채은성,한화,1997-04-22,특별상,올스타_MVP,타자,11215
2023,김혜성,키움,1999-01-25,특별상,페어플레이상,타자,12905
2024,김도영,KIA,2003-03-17,최고영예,MVP,타자,15056
2024,에레디아,SSG,1989-01-13,타격부문,타격왕,타자,15530
2024,오스틴,LG,1990-12-06,타격부문,타점왕,타자,15532
2024,데이비슨,NC,1991-03-26,타격부문,홈런왕,타자,16066
2024,곽빈,두산,1994-02-07,투수부문,최다승,투수,13061
2024,원태인,삼성,1994-03-20,투수부문,최다승,투수,14113
2024,네일,KIA,1994-05-15,투수부문,평균자책점상,투수,16088
2024,하트,NC,1992-03-07,투수부문,탈삼진상,투수,16065
2024,박영현,KT,2001-01-24,투수부문,승률상,투수,15089
2024,정해영,KIA,2001-04-20,투수부문,세이브상,투수,14608
2024,김선빈,KIA,1997-11-04,특별상,한국시리즈_MVP,타자,10008
2024,최형우,KIA,1986-07-19,특별상,올스타_MVP,타자,10344
2024,원태인,삼성,1994-03-20,특별상,페어플레이상,투수,14113
2024,김택연,두산,2001-12-17,신인부문,신인상,타자,16067