선수,연봉(만원),WAR,WAR당 연봉,팀,pid,연도
정우성,3000.0,-,-,KT 위즈,15618,2023
최정태,3000.0,-,-,KT 위즈,15619,2023
한민우,3000.0,-,-,KT 위즈,16144,2023
구자욱,200000.0,5.44,36791,삼성 라이온즈,10892,2023
오승환,140000.0,0.77,182641,삼성 라이온즈,10367,2023
피렐라,120000.0,0.70,171965,삼성 라이온즈,14757,2023
뷰캐넌,110000.0,6.31,17428,삼성 라이온즈,14617,2023
수아레즈,90000.0,2.52,35762,삼성 라이온즈,15001,2023
강민호,60000.0,2.61,22999,삼성 라이온즈,10232,2023
와이드너,59800.0,1.71,34903,삼성 라이온즈,15536,2023
오재일,50000.0,0.99,50317,삼성 라이온즈,10400,2023
백정현,40000.0,3.09,12953,삼성 라이온즈,10363,2023
원태인,35000.0,4.48,7820,삼성 라이온즈,14113,2023
우규민,25000.0,0.15,164780,삼성 라이온즈,10523,2023
김태훈,18000.0,-0.62,-28892,삼성 라이온즈,10871,2023
김지찬,16000.0,2.46,6513,삼성 라이온즈,14618,2023
류지혁,15500.0,0.38,41156,삼성 라이온즈,10894,2023
강한울,15000.0,-0.16,-95223,삼성 라이온즈,11255,2023
최채흥,15000.0,0.21,73083,삼성 라이온즈,13156,2023
최지광,14000.0,-0.12,-116044,삼성 라이온즈,12934,2023
이승현,12000.0,0.55,21832,삼성 라이온즈,10527,2023
김헌곤,12000.0,-0.18,-65249,삼성 라이온즈,10640,2023
김동엽,9000.0,0.03,259899,삼성 라이온즈,12548,2023
장필준,8000.0,-0.26,-30359,삼성 라이온즈,11404,2023
이승현,8000.0,0.05,166778,삼성 라이온즈,14798,2023
김현준,8000.0,1.24,6431,삼성 라이온즈,14867,2023
이상민,7500.0,-0.20,-37130,삼성 라이온즈,11169,2023
김재성,7500.0,0.27,27365,삼성 라이온즈,11344,2023
김대우,7000.0,0.29,23829,삼성 라이온즈,10685,2023
문용익,6300.0,0.23,26998,삼성 라이온즈,12885,2023
홍정우,6300.0,-0.33,-19132,삼성 라이온즈,13242,2023
이재현,6000.0,2.98,2010,삼성 라이온즈,15034,2023
이재익,5700.0,0.29,19540,삼성 라이온즈,13244,2023
김호재,5600.0,-0.20,-27958,삼성 라이온즈,13240,2023
최충연,5500.0,-0.09,-59554,삼성 라이온즈,12530,2023
허윤동,5400.0,-0.15,-35223,삼성 라이온즈,14613,2023
김민수,5200.0,-0.03,-187570,삼성 라이온즈,11266,2023
김도환,5000.0,-0.13,-38208,삼성 라이온즈,14115,2023
노건우,4800.0,-0.18,-27227,삼성 라이온즈,11144,2023
양창섭,4800.0,-0.42,-11318,삼성 라이온즈,13157,2023
송준석,4500.0,-0.07,-63970,삼성 라이온즈,11200,2023
이성규,4500.0,-0.03,-130769,삼성 라이온즈,12562,2023
김태훈,4300.0,-0.43,-9997,삼성 라이온즈,11336,2023
김성윤,4300.0,2.23,1926,삼성 라이온즈,12936,2023
이해승,4200.0,0.01,307977,삼성 라이온즈,14121,2023
황동재,4100.0,-0.07,-58072,삼성 라이온즈,14615,2023
공민규,4000.0,-0.42,-9540,삼성 라이온즈,13164,2023
안주형,3800.0,-0.36,-10514,삼성 라이온즈,12988,2023
박주혁,3800.0,-,-,삼성 라이온즈,14668,2023
김시현,3700.0,-0.06,-63090,삼성 라이온즈,12932,2023
박세웅,3600.0,-0.03,-106149,삼성 라이온즈,12651,2023
최하늘,3600.0,-0.32,-11188,삼성 라이온즈,13152,2023
이재희,3600.0,0.12,30311,삼성 라이온즈,14799,2023
이태훈,3500.0,-0.09,-37911,삼성 라이온즈,13160,2023
이병헌,3400.0,-0.31,-11082,삼성 라이온즈,14117,2023
양우현,3300.0,-,-,삼성 라이온즈,14116,2023
김동진,3300.0,1.04,3185,삼성 라이온즈,14863,2023
김서준,3300.0,-0.07,-46533,삼성 라이온즈,15039,2023
조민성,3300.0,-0.30,-10888,삼성 라이온즈,15040,2023
김태우,3200.0,-,-,삼성 라이온즈,13158,2023
윤정빈,3200.0,-0.12,-26551,삼성 라이온즈,13161,2023
한연욱,3200.0,-,-,삼성 라이온즈,14664,2023
홍무원,3200.0,-,-,삼성 라이온즈,14800,2023
김영웅,3200.0,0.21,15598,삼성 라이온즈,15035,2023
김상민,3200.0,-0.39,-8223,삼성 라이온즈,15042,2023
김용하,3100.0,-,-,삼성 라이온즈,13159,2023
박용민,3100.0,-,-,삼성 라이온즈,13163,2023
김준우,3100.0,-,-,삼성 라이온즈,14119,2023
홍원표,3100.0,0.12,26380,삼성 라이온즈,14614,2023
정진수,3100.0,-,-,삼성 라이온즈,14698,2023
신정환,3100.0,-,-,삼성 라이온즈,15038,2023
윤정훈,3100.0,-,-,삼성 라이온즈,15044,2023
서주원,3000.0,-,-,삼성 라이온즈,13165,2023
맹성주,3000.0,-,-,삼성 라이온즈,13166,2023
오현석,3000.0,-,-,삼성 라이온즈,14801,2023
홍승원,3000.0,-,-,삼성 라이온즈,14864,2023
장재혁,3000.0,-,-,삼성 라이온즈,15043,2023
이호성,3000.0,0.62,4873,삼성 라이온즈,15496,2023
박권후,3000.0,0.00,12211801,삼성 라이온즈,15497,2023
서현원,3000.0,-,-,삼성 라이온즈,15498,2023
김재상,3000.0,-0.02,-120535,삼성 라이온즈,15499,2023
신윤호,3000.0,-,-,삼성 라이온즈,15500,2023
강준서,3000.0,-0.07,-41715,삼성 라이온즈,15501,2023
김시온,3000.0,-,-,삼성 라이온즈,15502,2023
류승민,3000.0,-0.41,-7346,삼성 라이온즈,15503,2023
김민호,3000.0,-,-,삼성 라이온즈,15504,2023
박시원,3000.0,-,-,삼성 라이온즈,15505,2023
박장민,3000.0,-,-,삼성 라이온즈,15506,2023
박진우,3000.0,-,-,삼성 라이온즈,15507,2023
추신수,170000.0,1.46,116584,SSG 랜더스,14888,2023
최정,100000.0,4.85,20613,SSG 랜더스,10106,2023
김광현,100000.0,4.48,22341,SSG 랜더스,10126,2023
에레디아,117000.0,4.11,21918,SSG 랜더스,15530,2023
로메로,104000.0,-,-,SSG 랜더스,15529,2023
문승원,70000.0,0.78,89613,SSG 랜더스,10783,2023
최주환,65000.0,1.04,62554,SSG 랜더스,10182,2023
맥카티,78000.0,3.38,17736,SSG 랜더스,15528,2023
엘리아스,54000.0,3.54,15247,SSG 랜더스,15644,2023
박종훈,50000.0,0.39,129359,SSG 랜더스,10131,2023
한유섬,50000.0,0.35,142766,SSG 랜더스,10815,2023
최지훈,30000.0,1.55,19355,SSG 랜더스,14587,2023
박성한,27000.0,4.36,6188,SSG 랜더스,12922,2023
서진용,26500.0,2.84,9330,SSG 랜더스,10784,2023
노경은,17000.0,1.64,10340,SSG 랜더스,10203,2023
김강민,16000.0,0.41,39043,SSG 랜더스,10108,2023
김성현,15000.0,1.55,9673,SSG 랜더스,10636,2023
김민식,15000.0,1.70,8833,SSG 랜더스,10707,2023
오원석,14000.0,1.64,8512,SSG 랜더스,14581,2023
최민준,13000.0,0.28,46713,SSG 랜더스,13126,2023
이재원,10000.0,-0.81,-12395,SSG 랜더스,10082,2023
오태곤,10000.0,0.56,17794,SSG 랜더스,10249,2023
박민호,9500.0,0.24,39923,SSG 랜더스,11236,2023
전의산,9000.0,-0.22,-41025,SSG 랜더스,14699,2023
고효준,8500.0,0.78,10840,SSG 랜더스,10124,2023
강진성,8000.0,0.20,39361,SSG 랜더스,11148,2023
김태훈,7800.0,-,-,SSG 랜더스,10133,2023
이흥련,7000.0,-0.35,-20262,SSG 랜더스,11108,2023
서동민,6000.0,0.05,120132,SSG 랜더스,13191,2023
정성곤,5500.0,-0.11,-49758,SSG 랜더스,11321,2023
하재훈,5500.0,2.79,1972,SSG 랜더스,14147,2023
김찬형,5000.0,0.00,-3061025,SSG 랜더스,12622,2023
최경모,5000.0,-0.45,-11017,SSG 랜더스,14151,2023
최준우,4500.0,0.64,6992,SSG 랜더스,13128,2023
임준섭,4000.0,-0.12,-33228,SSG 랜더스,10795,2023
안상현,4000.0,-0.04,-111946,SSG 랜더스,12613,2023
이현석,3500.0,-,-,SSG 랜더스,11369,2023
전경원,3200.0,-,-,SSG 랜더스,13129,2023
조형우,3200.0,0.04,83006,SSG 랜더스,14806,2023
전영준,3200.0,-,-,SSG 랜더스,15032,2023
최항,3100.0,-0.19,-16028,SSG 랜더스,10810,2023
이건욱,3100.0,0.60,5130,SSG 랜더스,11242,2023
한두솔,3100.0,0.00,-790540,SSG 랜더스,13228,2023
김주한,3000.0,-0.02,-196947,SSG 랜더스,12531,2023
정동윤,3000.0,-,-,SSG 랜더스,12571,2023
이원준,3000.0,-,-,SSG 랜더스,12920,2023
김주온,3000.0,-0.01,-244111,SSG 랜더스,13057,2023
조성훈,3000.0,0.02,153301,SSG 랜더스,13125,2023
유호식,3000.0,-,-,SSG 랜더스,13127,2023
이정범,3000.0,-0.34,-8785,SSG 랜더스,13194,2023
최상민,3000.0,0.34,8914,SSG 랜더스,13195,2023
백승건,3000.0,0.30,10004,SSG 랜더스,14145,2023
최수호,3000.0,-,-,SSG 랜더스,14148,2023
허민혁,3000.0,-,-,SSG 랜더스,14149,2023
서상준,3000.0,-0.03,-92477,SSG 랜더스,14152,2023
채현우,3000.0,0.00,-7767332,SSG 랜더스,14153,2023
전진우,3000.0,-,-,SSG 랜더스,14154,2023
김규남,3000.0,-,-,SSG 랜더스,14200,2023
류효승,3000.0,-0.09,-32810,SSG 랜더스,14586,2023
양선률,3000.0,-,-,SSG 랜더스,14682,2023
박시후,3000.0,-,-,SSG 랜더스,14687,2023
이거연,3000.0,-,-,SSG 랜더스,14692,2023
고명준,3000.0,-0.02,-157745,SSG 랜더스,14807,2023
윤태현,3000.0,-,-,SSG 랜더스,15023,2023
신헌민,3000.0,-0.05,-55918,SSG 랜더스,15024,2023
김도현,3000.0,-,-,SSG 랜더스,15025,2023
박상후,3000.0,-,-,SSG 랜더스,15026,2023
이기순,3000.0,-0.01,-283645,SSG 랜더스,15028,2023
강매성,3000.0,-,-,SSG 랜더스,15029,2023
최유빈,3000.0,-,-,SSG 랜더스,15033,2023
이로운,3000.0,-0.15,-20115,SSG 랜더스,15461,2023
송영진,3000.0,0.08,39439,SSG 랜더스,15462,2023
김정민,3000.0,0.00,-611799,SSG 랜더스,15463,2023
안현서,3000.0,-,-,SSG 랜더스,15464,2023
김건웅,3000.0,-0.09,-32298,SSG 랜더스,15465,2023
박세직,3000.0,-,-,SSG 랜더스,15466,2023
김민준,3000.0,-,-,SSG 랜더스,15467,2023
류현곤,3000.0,-,-,SSG 랜더스,15468,2023
이승훈,3000.0,-,-,SSG 랜더스,15469,2023
김건이,3000.0,-,-,SSG 랜더스,15470,2023
김준영,3000.0,-,-,SSG 랜더스,15471,2023
조강희,3000.0,-,-,SSG 랜더스,15615,2023
박민우,110000.0,5.25,20953,NC 다이노스,11137,2023
박건우,90000.0,3.92,22940,NC 다이노스,10189,2023
페디,130000.0,7.95,10059,NC 다이노스,15535,2023
마틴,117000.0,3.28,21973,NC 다이노스,15537,2023
박세혁,70000.0,0.88,79265,NC 다이노스,10891,2023
구창모,60000.0,1.70,35313,NC 다이노스,11353,2023
손아섭,50000.0,4.62,10826,NC 다이노스,10261,2023
이용찬,40000.0,0.72,55281,NC 다이노스,10217,2023
이재학,20000.0,1.16,17179,NC 다이노스,10220,2023
심창민,15000.0,0.06,260282,NC 다이노스,10720,2023
태너,15000.0,1.94,7723,NC 다이노스,15653,2023
김영규,14000.0,1.06,13157,NC 다이노스,13088,2023
신민혁,13500.0,1.91,7073,NC 다이노스,13085,2023
송명기,13000.0,0.86,15174,NC 다이노스,14155,2023
김성욱,10000.0,0.34,29013,NC 다이노스,11153,2023
임정호,9000.0,0.18,49071,NC 다이노스,11168,2023
권희동,9000.0,2.18,4137,NC 다이노스,11172,2023
배재환,9000.0,-,-,NC 다이노스,11248,2023
김시훈,9000.0,-0.10,-94156,NC 다이노스,13080,2023
김주원,9000.0,2.22,4049,NC 다이노스,14765,2023
류진욱,7500.0,2.36,3182,NC 다이노스,11355,2023
하준영,7500.0,0.16,47675,NC 다이노스,13115,2023
최성영,7200.0,0.94,7686,NC 다이노스,12565,2023
최정원,6600.0,0.47,14015,NC 다이노스,14221,2023
안중열,6000.0,-0.83,-7267,NC 다이노스,11329,2023
김진호,6000.0,0.38,15704,NC 다이노스,12897,2023
오영수,6000.0,-0.04,-169936,NC 다이노스,13082,2023
배민서,5100.0,-0.13,-38762,NC 다이노스,14158,2023
박석민,5000.0,-0.83,-6023,NC 다이노스,10322,2023
이민호,5000.0,-,-,NC 다이노스,11151,2023
도태훈,5000.0,2.38,2101,NC 다이노스,12560,2023
김형준,5000.0,0.90,5557,NC 다이노스,13081,2023
정진기,4700.0,-,-,NC 다이노스,10717,2023
서호철,4500.0,2.85,1581,NC 다이노스,14220,2023
윤형준,4000.0,0.40,10119,NC 다이노스,11135,2023
박대온,4000.0,0.14,28094,NC 다이노스,11246,2023
권정웅,4000.0,-,-,NC 다이노스,12529,2023
한석현,3900.0,-0.18,-22228,NC 다이노스,13250,2023
채지선,3800.0,-0.02,-201036,NC 다이노스,11387,2023
이용준,3500.0,0.36,9674,NC 다이노스,14763,2023
조민석,3500.0,0.13,26129,NC 다이노스,15119,2023
이우석,3300.0,0.03,124338,NC 다이노스,11360,2023
전루건,3300.0,-,-,NC 다이노스,14171,2023
오장한,3300.0,-0.01,-331987,NC 다이노스,14767,2023
한재승,3200.0,-0.04,-87452,NC 다이노스,14764,2023
김수윤,3100.0,-0.18,-16950,NC 다이노스,12903,2023
천재환,3100.0,0.31,10129,NC 다이노스,13261,2023
전사민,3100.0,0.01,286973,NC 다이노스,14156,2023
하준수,3100.0,0.04,78983,NC 다이노스,14654,2023
김한별,3100.0,-0.51,-6029,NC 다이노스,14716,2023
오태양,3100.0,-0.40,-7819,NC 다이노스,14766,2023
서의태,3000.0,-,-,NC 다이노스,12574,2023
최우재,3000.0,-,-,NC 다이노스,12621,2023
김태현,3000.0,0.03,100147,NC 다이노스,12898,2023
김철호,3000.0,-,-,NC 다이노스,13083,2023
김재균,3000.0,-,-,NC 다이노스,13084,2023
최보성,3000.0,-0.15,-19455,NC 다이노스,13087,2023
이인혁,3000.0,-,-,NC 다이노스,13090,2023
박주현,3000.0,-,-,NC 다이노스,13175,2023
최시혁,3000.0,-,-,NC 다이노스,14157,2023
박주찬,3000.0,-0.24,-12715,NC 다이노스,14219,2023
김범준,3000.0,-,-,NC 다이노스,14222,2023
임형원,3000.0,-,-,NC 다이노스,14594,2023
정구범,3000.0,-0.10,-30318,NC 다이노스,14595,2023
노시훈,3000.0,-,-,NC 다이노스,14649,2023
한건희,3000.0,-,-,NC 다이노스,14656,2023
한재환,3000.0,-,-,NC 다이노스,14659,2023
박영빈,3000.0,0.13,23239,NC 다이노스,14661,2023
김준상,3000.0,-,-,NC 다이노스,14827,2023
조현진,3000.0,-0.12,-25248,NC 다이노스,14877,2023
박성재,3000.0,-,-,NC 다이노스,15110,2023
이준혁,3000.0,-,-,NC 다이노스,15111,2023
김녹원,3000.0,-,-,NC 다이노스,15113,2023
이한,3000.0,-,-,NC 다이노스,15114,2023
임지민,3000.0,-0.02,-138769,NC 다이노스,15115,2023
이주형,3000.0,-,-,NC 다이노스,15116,2023
이현우,3000.0,-,-,NC 다이노스,15117,2023
서준교,3000.0,-,-,NC 다이노스,15120,2023
신영우,3000.0,-,-,NC 다이노스,15450,2023
박한결,3000.0,0.29,10341,NC 다이노스,15451,2023
신용석,3000.0,-,-,NC 다이노스,15452,2023
목지훈,3000.0,-,-,NC 다이노스,15453,2023
강건준,3000.0,-,-,NC 다이노스,15454,2023
이준호,3000.0,-0.18,-16725,NC 다이노스,15455,2023
신성호,3000.0,-,-,NC 다이노스,15456,2023
서동욱,3000.0,-,-,NC 다이노스,15458,2023
배상호,3000.0,-,-,NC 다이노스,15459,2023
김주환,3000.0,-,-,NC 다이노스,15460,2023
박찬희,3000.0,-,-,NC 다이노스,15621,2023
김택우,3000.0,-,-,NC 다이노스,15622,2023
박시원,0.0,-,-,NC 다이노스,14597,2023
김재환,150000.0,0.48,309878,두산 베어스,10643,2023
허경민,120000.0,2.35,50978,두산 베어스,10184,2023
로하스,117000.0,2.41,35224,두산 베어스,15539,2023
정수빈,60000.0,4.87,12325,두산 베어스,10195,2023
김재호,50000.0,3.30,15174,두산 베어스,10174,2023
알칸타라,50000.0,5.79,8635,두산 베어스,13941,2023
딜런,45000.0,-0.08,-541797,두산 베어스,15538,2023
양석환,40000.0,3.33,12016,두산 베어스,11213,2023
최원준,33000.0,1.23,26893,두산 베어스,12852,2023
양의지,30000.0,6.10,4914,두산 베어스,10165,2023
홍건희,30000.0,0.84,35541,두산 베어스,10696,2023
브랜든,23000.0,3.61,6369,두산 베어스,15153,2023
김강률,20000.0,0.40,50245,두산 베어스,10690,2023
강승호,20000.0,1.98,10125,두산 베어스,11087,2023
김명신,14500.0,0.95,15275,두산 베어스,12847,2023
곽빈,14000.0,4.36,3210,두산 베어스,13061,2023
이영하,12000.0,-0.31,-38465,두산 베어스,12568,2023
박치국,10500.0,0.50,20931,두산 베어스,12850,2023
김인태,10000.0,0.38,26394,두산 베어스,11098,2023
정철원,10000.0,-0.05,-214404,두산 베어스,13071,2023
박계범,9700.0,-0.06,-154543,두산 베어스,11198,2023
이승진,8800.0,-0.02,-420564,두산 베어스,12678,2023
조수행,7800.0,0.49,16074,두산 베어스,12524,2023
이형범,7000.0,-0.62,-11363,두산 베어스,11159,2023
김지용,6000.0,-,-,두산 베어스,10747,2023
장승현,6000.0,-0.93,-6450,두산 베어스,11097,2023
박준영,6000.0,1.88,3184,두산 베어스,12522,2023
이유찬,6000.0,1.43,4192,두산 베어스,12894,2023
최승용,6000.0,1.94,3098,두산 베어스,14770,2023
김민규,5500.0,0.04,146643,두산 베어스,13072,2023
안재석,5300.0,0.25,21170,두산 베어스,14771,2023
장원준,5000.0,0.10,49587,두산 베어스,10299,2023
박정수,4500.0,0.05,99144,두산 베어스,11300,2023
안승한,4500.0,-0.41,-11105,두산 베어스,11328,2023
김민혁,4500.0,-0.14,-31463,두산 베어스,12970,2023
김대한,4500.0,-0.94,-4770,두산 베어스,14170,2023
양찬열,4300.0,0.25,17228,두산 베어스,14738,2023
박소준,4000.0,-,-,두산 베어스,11491,2023
신성현,4000.0,-0.10,-42068,두산 베어스,11492,2023
박신지,3600.0,-0.04,-85608,두산 베어스,13070,2023
전민재,3600.0,-0.32,-11285,두산 베어스,13073,2023
박지훈,3600.0,-0.17,-21280,두산 베어스,14736,2023
송승환,3500.0,0.22,16156,두산 베어스,14172,2023
서예일,3400.0,-0.09,-36930,두산 베어스,12523,2023
고봉재,3300.0,-0.11,-29690,두산 베어스,12605,2023
박유연,3300.0,-0.06,-56936,두산 베어스,12892,2023
홍성호,3100.0,-0.26,-11880,두산 베어스,12606,2023
권민석,3100.0,-0.08,-40842,두산 베어스,13079,2023
이주엽,3100.0,-,-,두산 베어스,14572,2023
김동주,3100.0,1.81,1713,두산 베어스,14769,2023
박성재,3100.0,-,-,두산 베어스,14838,2023
이병헌,3100.0,-0.08,-36906,두산 베어스,15099,2023
신창희,3000.0,-,-,두산 베어스,12608,2023
문원,3000.0,-,-,두산 베어스,12848,2023
배창현,3000.0,-,-,두산 베어스,13074,2023
조선명,3000.0,-,-,두산 베어스,13106,2023
김정우,3000.0,-0.10,-30321,두산 베어스,13124,2023
김호준,3000.0,-0.05,-61108,두산 베어스,13268,2023
이민혁,3000.0,-,-,두산 베어스,14174,2023
김태근,3000.0,-0.74,-4042,두산 베어스,14175,2023
장규빈,3000.0,-,-,두산 베어스,14570,2023
제환유,3000.0,-0.05,-61039,두산 베어스,14573,2023
전형근,3000.0,-,-,두산 베어스,14652,2023
최종인,3000.0,-,-,두산 베어스,14733,2023
이상연,3000.0,-,-,두산 베어스,14836,2023
장빈,3000.0,-,-,두산 베어스,14837,2023
이원재,3000.0,-0.06,-50863,두산 베어스,15101,2023
신민철,3000.0,-,-,두산 베어스,15102,2023
전희범,3000.0,-,-,두산 베어스,15103,2023
정유석,3000.0,-,-,두산 베어스,15105,2023
김시완,3000.0,-,-,두산 베어스,15108,2023
최지강,3000.0,0.01,333572,두산 베어스,15127,2023
최준호,3000.0,-,-,두산 베어스,15508,2023
김유성,3000.0,-0.15,-19572,두산 베어스,15509,2023
임서준,3000.0,-,-,두산 베어스,15511,2023
윤준호,3000.0,-,-,두산 베어스,15512,2023
한충희,3000.0,-,-,두산 베어스,15513,2023
백승우,3000.0,0.16,18521,두산 베어스,15514,2023
박민준,3000.0,-,-,두산 베어스,15515,2023
김문수,3000.0,-,-,두산 베어스,15516,2023
남율,3000.0,-,-,두산 베어스,15517,2023
이정원,3000.0,-,-,두산 베어스,15611,2023
이기석,3000.0,-,-,두산 베어스,15613,2023
요키시,120000.0,0.94,128200,키움 히어로즈,13940,2023
이정후,110000.0,5.18,21222,키움 히어로즈,12906,2023
후라도,110500.0,7.12,11938,키움 히어로즈,15531,2023
러셀,55000.0,1.08,50965,키움 히어로즈,14742,2023
이지영,50000.0,0.86,58404,키움 히어로즈,10312,2023
원종현,50000.0,-0.17,-301827,키움 히어로즈,11161,2023
김혜성,42000.0,6.98,6021,키움 히어로즈,12905,2023
안우진,35000.0,6.86,5100,키움 히어로즈,13091,2023
이용규,30000.0,-0.43,-70236,키움 히어로즈,10035,2023
김재웅,22000.0,1.25,17538,키움 히어로즈,12858,2023
이원석,20000.0,-0.99,-20171,키움 히어로즈,10180,2023
홍성민,15000.0,-0.01,-1243915,키움 히어로즈,10814,2023
이승호,12800.0,0.09,140999,키움 히어로즈,12865,2023
김태진,12000.0,0.04,267985,키움 히어로즈,11244,2023
송성문,12000.0,1.95,6149,키움 히어로즈,11376,2023
이형종,12000.0,-0.21,-57844,키움 히어로즈,12516,2023
임창민,10000.0,1.26,7923,키움 히어로즈,10452,2023
정찬헌,10000.0,1.27,7905,키움 히어로즈,10533,2023
맥키니,10000.0,0.11,92461,키움 히어로즈,15646,2023
김준완,9000.0,-0.05,-166729,키움 히어로즈,11182,2023
양현,8500.0,-0.56,-15256,키움 히어로즈,10730,2023
도슨,8500.0,1.75,4851,키움 히어로즈,15652,2023
전병우,8000.0,-0.05,-164681,키움 히어로즈,11422,2023
김휘집,7400.0,1.12,6613,키움 히어로즈,14785,2023
김선기,7300.0,-0.48,-15171,키움 히어로즈,13092,2023
문성현,7000.0,-0.02,-301722,키움 히어로즈,10437,2023
이영준,7000.0,-0.10,-73546,키움 히어로즈,12997,2023
김재현,6500.0,-0.55,-11720,키움 히어로즈,10870,2023
하영민,6500.0,-0.44,-14749,키움 히어로즈,11222,2023
김동혁,6500.0,-0.46,-14189,키움 히어로즈,14674,2023
김웅빈,6000.0,-0.64,-9324,키움 히어로즈,12503,2023
임병욱,5800.0,0.44,13102,키움 히어로즈,11226,2023
김주형,5500.0,-0.73,-7513,키움 히어로즈,14214,2023
임지열,5000.0,0.45,11108,키움 히어로즈,11225,2023
박준태,5000.0,-0.20,-25419,키움 히어로즈,11260,2023
신준우,4800.0,-0.40,-11894,키움 히어로즈,14695,2023
박승주,4500.0,-0.04,-125171,키움 히어로즈,12989,2023
김수환,4500.0,-0.13,-33655,키움 히어로즈,13096,2023
윤정현,4500.0,0.13,33367,키움 히어로즈,14131,2023
김성진,4500.0,0.84,5378,키움 히어로즈,14849,2023
이명종,4500.0,0.14,33130,키움 히어로즈,15073,2023
김준형,4200.0,0.00,1510520,키움 히어로즈,14848,2023
박찬혁,4200.0,-0.45,-9357,키움 히어로즈,15068,2023
변시원,4000.0,-0.14,-28982,키움 히어로즈,10882,2023
박주홍,4000.0,-0.71,-5624,키움 히어로즈,14580,2023
예진원,3900.0,-0.42,-9317,키움 히어로즈,13093,2023
박주성,3700.0,-,-,키움 히어로즈,14130,2023
이주형,3700.0,-,-,키움 히어로즈,14855,2023
김정인,3500.0,-,-,키움 히어로즈,11531,2023
이병규,3500.0,-0.04,-83411,키움 히어로즈,12859,2023
조영건,3400.0,0.42,8020,키움 히어로즈,14132,2023
이주형,3300.0,2.55,1292,키움 히어로즈,14591,2023
김병휘,3200.0,-0.26,-12401,키움 히어로즈,14577,2023
이강준,3200.0,-,-,키움 히어로즈,14601,2023
장재영,3200.0,0.85,3743,키움 히어로즈,14784,2023
주성원,3100.0,-0.47,-6657,키움 히어로즈,14133,2023
이종민,3100.0,-0.27,-11457,키움 히어로즈,14576,2023
김시앙,3100.0,-0.37,-8330,키움 히어로즈,14851,2023
노운현,3100.0,-,-,키움 히어로즈,15027,2023
주승우,3100.0,-0.18,-16757,키움 히어로즈,15067,2023
송정인,3100.0,-,-,키움 히어로즈,15069,2023
박주현,3000.0,-,-,키움 히어로즈,11375,2023
양지율,3000.0,-0.02,-188477,키움 히어로즈,12854,2023
오윤성,3000.0,-,-,키움 히어로즈,12856,2023
박준형,3000.0,-,-,키움 히어로즈,14211,2023
정현민,3000.0,-,-,키움 히어로즈,14216,2023
김신회,3000.0,-,-,키움 히어로즈,14218,2023
김동욱,3000.0,-,-,키움 히어로즈,14681,2023
정연제,3000.0,-,-,키움 히어로즈,14850,2023
양경식,3000.0,-,-,키움 히어로즈,14853,2023
이재홍,3000.0,-,-,키움 히어로즈,14854,2023
윤석원,3000.0,-0.19,-15431,키움 히어로즈,15071,2023
주승빈,3000.0,-,-,키움 히어로즈,15072,2023
김리안,3000.0,-,-,키움 히어로즈,15074,2023
이세호,3000.0,-,-,키움 히어로즈,15075,2023
박수종,3000.0,1.45,2075,키움 히어로즈,15132,2023
김건희,3000.0,-0.24,-12690,키움 히어로즈,15472,2023
