선수,연도,기존pid,연봉,이후연봉,예측연봉,포지션
배민서,2024,14158,5100.0,4100.0,4465.2,투수
김도빈,2024,16118,3000.0,3100.0,5795.3,투수
이충호,2024,11116,3400.0,3400.0,3637.7,투수
장지수,2024,14178,3200.0,3400.0,5133.94,투수
윤대경,2024,11110,11000.0,7000.0,9475.9,투수
이태양,2024,10609,70000.0,47000.0,68030.226,투수
임찬규,2024,10652,20000.0,20000.0,31266.96,투수
손주영,2024,12908,4300.0,17200.0,15852.22,투수
최원태,2024,11379,40000.0,20000.0,43995.932,투수
에르난데스,2024,16160,44000.0,112000.0,59272.572,투수
김진성,2024,11166,35000.0,33000.0,38822.664,투수
유영찬,2024,14669,8500.0,21000.0,15063.93,투수
김유영,2024,11229,6700.0,10500.0,10689.16,투수
이종준,2024,14651,3000.0,4200.0,7451.56,투수
함덕주,2024,11094,20000.0,20000.0,15478.5,투수
우강훈,2024,14816,3100.0,3600.0,4735.8,투수
임준형,2024,14142,4800.0,5500.0,5366.9,투수
진우영,2024,16015,3000.0,3400.0,5127.1,투수
김대현,2024,12532,5700.0,7500.0,7719.36,투수
이지강,2024,14143,6800.0,8300.0,8286.15,투수
정우영,2024,14136,32000.0,18000.0,28756.566,투수
김진수,2024,14781,3200.0,3600.0,4024.8,투수
성동현,2024,13103,3200.0,3400.0,3594.3,투수
최동환,2024,10535,13000.0,11000.0,10349.4,투수
김영준,2024,13102,3600.0,4200.0,4766.4,투수
박명근,2024,15486,17500.0,6000.0,13468.0,투수
정지헌,2024,16017,3000.0,3500.0,4557.8,투수
백승현,2024,13009,9200.0,7000.0,9992.6,투수
이우찬,2024,10749,12500.0,10000.0,10522.4,투수
반즈,2024,15011,85000.0,133000.0,141724.4,투수
박세웅,2024,11310,135000.0,135000.0,105333.0,투수
김원중,2024,10825,50000.0,110000.0,57013.682,투수
김진욱,2024,14792,6000.0,10000.0,10343.47,투수
한현희,2024,10863,40000.0,110000.0,37200.062,투수
박진,2024,14163,3300.0,6000.0,7848.52,투수
김상수,2024,10427,16000.0,24000.0,17970.32,투수
정현수,2024,16090,3000.0,4000.0,6701.64,투수
김강현,2024,12699,3200.0,4000.0,5019.62,투수
박진형,2024,11425,8600.0,5600.0,6677.8,투수
구승민,2024,11291,45000.0,30000.0,33668.832,투수
최준용,2024,14624,16300.0,11000.0,13014.7,투수
이민석,2024,15045,3800.0,4000.0,4605.4,투수
진승현,2024,15047,4300.0,4000.0,5458.8,투수
정우준,2024,14795,3100.0,3200.0,4155.4,투수
박준우,2024,16092,3000.0,3100.0,3411.9,투수
우강훈,2024,14816,3100.0,3600.0,6043.0,투수
김도규,2024,13148,8000.0,4000.0,6395.3,투수
홍민기,2024,14625,3100.0,3100.0,3656.6,투수
진해수,2024,10075,15000.0,7000.0,12077.1,투수
윤성빈,2024,12928,3100.0,3100.0,7253.2,투수
현도훈,2024,13271,3200.0,3300.0,3799.7,투수
송재영,2024,14794,3100.0,3200.0,10769.8,투수
나균안,2024,12930,17000.0,12000.0,17132.4,투수
양현종,2024,10058,125000.0,125000.0,109483.9,투수
네일,2024,16088,71500.0,168000.0,119970.464,투수
정해영,2024,14608,20000.0,36000.0,26154.752,투수
윤영철,2024,15432,41000.0,12000.0,39131.164,투수
황동하,2024,15063,3500.0,10000.0,9659.17,투수
장현식,2024,11164,16000.0,20000.0,17781.36,투수
전상현,2024,12537,17000.0,30000.0,29133.97,투수
곽도규,2024,15435,9300.0,12000.0,14021.57,투수
김도현,2024,14128,3500.0,9000.0,7354.13,투수
이준영,2024,11303,14000.0,17000.0,11923.9,투수
최지민,2024,15057,10000.0,12000.0,11784.6,투수
김승현,2024,12637,4100.0,4600.0,5155.9,투수
유승철,2024,12914,3600.0,3800.0,3852.3,투수
이의리,2024,14788,17000.0,17000.0,14841.0,투수
김기훈,2024,14176,4000.0,5500.0,5400.08,투수
장재혁,2024,14657,3000.0,3100.0,3124.8,투수
박정우,2024,12869,3800.0,6500.0,4150.1,투수
김사윤,2024,11364,3400.0,4000.0,6492.46,투수
박준표,2024,11070,8000.0,7500.0,6043.4,투수
유지성,2024,14607,3100.0,3200.0,3628.3,투수
김민주,2024,16082,3000.0,3100.0,3381.8,투수
김민재,2024,16083,3000.0,3100.0,5647.1,투수
임기영,2024,10909,25000.0,30000.0,18008.1,투수
김건국,2024,12944,4000.0,4500.0,4460.4,투수
이형범,2024,11159,7000.0,6500.0,5928.8,투수
김현수,2024,14162,4500.0,4500.0,6177.2,투수
김대유,2024,10706,11000.0,12000.0,10263.2,투수
윤중현,2024,13122,6500.0,6000.0,7542.6,투수
쿠에바스,2024,13942,100000.0,140000.0,118102.1,투수
엄상백,2024,11318,25000.0,90000.0,48800.9,투수
박영현,2024,15089,16000.0,24000.0,24671.336,투수
김민,2024,13167,5000.0,11000.0,13159.73,투수
고영표,2024,11308,200000.0,200000.0,74072.228,투수
우규민,2024,10523,22000.0,20000.0,28916.382,투수
김민수,2024,11317,16000.0,21000.0,15910.16,투수
육청명,2024,16028,3000.0,3500.0,6874.42,투수
조이현,2024,11284,6000.0,5700.0,6367.42,투수
박시영,2024,10737,9000.0,5000.0,8673.7,투수
소형준,2024,14600,22000.0,22000.0,32784.28,투수
손동현,2024,14108,12000.0,10000.0,10452.5,투수
이선우,2024,14111,4000.0,3800.0,4509.0,투수
원상현,2024,16027,3000.0,4000.0,6187.68,투수
이상동,2024,14109,6000.0,5900.0,6763.78,투수
박세진,2024,12572,3500.0,3700.0,5349.0,투수
성재헌,2024,14667,3000.0,3600.0,5274.64,투수
이채호,2024,13130,5300.0,5000.0,4721.5,투수
주권,2024,11323,20000.0,20000.0,15633.2,투수
강건,2024,15527,6500.0,3500.0,5382.1,투수
전용주,2024,14106,3200.0,3600.0,4081.1,투수
한차현,2024,14776,3100.0,3500.0,3639.0,투수
문용익,2024,12885,6300.0,5800.0,6369.6,투수
원태인,2024,14113,43000.0,63000.0,101211.066,투수
레예스,2024,15861,78000.0,98000.0,105019.498,투수
이승현,2024,14798,7000.0,12000.0,13808.91,투수
임창민,2024,10452,20000.0,20000.0,21598.08,투수
최지광,2024,12934,14000.0,17000.0,17018.29,투수
김재윤,2024,11489,40000.0,80000.0,37039.328,투수
김태훈,2024,10871,17000.0,24000.0,20577.672,투수
황동재,2024,14615,4100.0,6200.0,7855.49,투수
이승현,2024,10527,17000.0,24000.0,19590.9,투수
백정현,2024,10363,75000.0,75000.0,65440.5,투수
이상민,2024,11169,6500.0,8500.0,8056.65,투수
송은범,2024,10137,5000.0,6000.0,7150.2,투수
최하늘,2024,13152,4100.0,6000.0,5614.62,투수
김대우,2024,10685,10000.0,10000.0,9145.9,투수
육선엽,2024,15864,3000.0,3500.0,4336.9,투수
오승환,2024,10367,40000.0,80000.0,32427.964,투수
홍원표,2024,14614,3300.0,3550.0,6667.7,투수
최성훈,2024,10851,10000.0,7800.0,9690.6,투수
양현,2024,10730,9000.0,7000.0,8447.5,투수
이호성,2024,15496,23200.0,4000.0,15128.8,투수
최채흥,2024,13156,15000.0,13000.0,11375.5,투수
장필준,2024,11404,7000.0,4000.0,6176.8,투수
김대호,2024,15882,3000.0,3300.0,3133.1,투수
김윤수,2024,13162,7000.0,7000.0,5581.3,투수
이승민,2024,14616,4100.0,5000.0,5067.8,투수
이재익,2024,13244,8200.0,6200.0,7451.2,투수
앤더슨,2024,16146,57000.0,161000.0,100152.76,투수
김광현,2024,10126,100000.0,300000.0,110661.8,투수
노경은,2024,10203,35000.0,40000.0,42890.738,투수
오원석,2024,14581,14000.0,14000.0,16038.09,투수
조병현,2024,14805,3000.0,13500.0,13697.05,투수
문승원,2024,10783,18000.0,80000.0,18787.48,투수
송영진,2024,15462,19500.0,5500.0,23878.3,투수
한두솔,2024,13228,3200.0,8000.0,9407.8,투수
이로운,2024,15461,32400.0,7400.0,29317.03,투수
박종훈,2024,10131,110000.0,110000.0,67752.63,투수
박시후,2024,14687,3000.0,3100.0,4598.8,투수
박성빈,2024,16044,3000.0,3100.0,3981.3,투수
정동윤,2024,12571,3000.0,3000.0,3546.3,투수
김택형,2024,11373,20500.0,20500.0,14542.6,투수
장지훈,2024,14804,13000.0,13000.0,9748.7,투수
백승건,2024,14145,4600.0,3200.0,4562.1,투수
최현석,2024,16041,3000.0,3000.0,6582.1,투수
고효준,2024,10124,15300.0,8000.0,13475.6,투수
신헌민,2024,15024,3200.0,3300.0,4939.3,투수
김주온,2024,13057,3000.0,3000.0,3267.8,투수
서진용,2024,10784,45000.0,38000.0,35693.6,투수
이건욱,2024,11242,6100.0,3200.0,5696.0,투수
최민준,2024,13126,14400.0,10000.0,11532.23,투수
신민혁,2024,13085,18000.0,18000.0,22105.82,투수
김재열,2024,14747,6000.0,12000.0,14062.44,투수
김시훈,2024,13080,11000.0,13500.0,14789.94,투수
김영규,2024,13088,22500.0,20000.0,25695.004,투수
이재학,2024,10220,20000.0,18000.0,20551.68,투수
한재승,2024,14764,3400.0,7500.0,8365.49,투수
임정호,2024,11168,13500.0,20000.0,14697.43,투수
최우석,2024,16056,3000.0,3000.0,5252.4,투수
박주현,2024,13175,3000.0,3000.0,3174.0,투수
김진호,2024,12897,6000.0,5000.0,5570.1,투수
류진욱,2024,11355,16500.0,13500.0,13035.6,투수
손주환,2024,16057,3000.0,3000.0,4093.8,투수
임상현,2024,16053,3000.0,3700.0,4274.2,투수
최성영,2024,12565,8300.0,8000.0,8002.9,투수
배재환,2024,11248,6300.0,5500.0,5788.5,투수
김민규,2024,16049,3000.0,3000.0,4047.2,투수
서의태,2024,12574,3000.0,3000.0,4514.8,투수
신영우,2024,15450,28000.0,3000.0,21661.332,투수
소이현,2024,12900,3200.0,3100.0,3698.5,투수
김태현,2024,12898,4000.0,3500.0,4193.0,투수
목지훈,2024,15453,11000.0,3000.0,9665.6,투수
전사민,2024,14156,3400.0,3800.0,5020.7,투수
전루건,2024,14171,3200.0,3100.0,4990.8,투수
이용찬,2024,10217,40000.0,20000.0,34846.098,투수
곽빈,2024,13061,21000.0,38000.0,42598.76,투수
김택연,2024,16067,3000.0,14000.0,15244.67,투수
이병헌,2024,15099,3600.0,13000.0,12907.56,투수
김강률,2024,10690,15000.0,10000.0,15179.18,투수
홍건희,2024,10696,30000.0,30000.0,35837.18,투수
최원준,2024,12852,25000.0,22500.0,27652.96,투수
최준호,2024,15508,23000.0,5800.0,20718.12,투수
알칸타라,2024,13941,80000.0,35000.0,68764.83,투수
최지강,2024,15127,3400.0,9500.0,10129.35,투수
김민규,2024,13072,5000.0,4200.0,6499.31,투수
이영하,2024,12568,10000.0,18000.0,13659.89,투수
김유성,2024,15509,18000.0,3300.0,13038.5,투수
박신지,2024,13070,3500.0,3200.0,7496.4,투수
박정수,2024,11300,5500.0,5200.0,5917.0,투수
최종인,2024,14733,3000.0,3500.0,6582.1,투수
최승용,2024,14770,10200.0,8500.0,8404.4,투수
박지호,2024,16071,3000.0,3100.0,3496.4,투수
박치국,2024,12850,13000.0,11000.0,12158.0,투수
김도윤,2024,14768,3100.0,3100.0,4910.6,투수
권휘,2024,13665,3000.0,3700.0,3936.8,투수
정철원,2024,13071,16500.0,12000.0,12759.2,투수
김정우,2024,13124,3100.0,3000.0,3278.9,투수
김호준,2024,13268,3100.0,3300.0,4840.6,투수
이교훈,2024,14173,3300.0,3800.0,5847.4,투수
김명신,2024,12847,22500.0,16500.0,13718.3,투수
후라도,2024,15531,120000.0,130000.0,152199.2,투수
헤이수스,2024,16138,78000.0,130000.0,148254.8,투수
하영민,2024,11222,8000.0,16500.0,20594.18,투수
주승우,2024,15067,3200.0,7700.0,10892.52,투수
조상우,2024,11126,34000.0,40000.0,31887.642,투수
김인범,2024,14480,3300.0,4500.0,7136.88,투수
김성민,2024,12918,9000.0,11000.0,10622.62,투수
김윤하,2024,16123,3000.0,4500.0,5680.15,투수
김선기,2024,13092,7000.0,8400.0,10111.64,투수
양지율,2024,12854,3000.0,3500.0,4749.6,투수
원종현,2024,11161,62500.0,62500.0,63751.628,투수
박윤성,2024,15475,12000.0,3500.0,9399.7,투수
김동규,2024,15485,3100.0,3100.0,7539.5,투수
김연주,2024,16127,3000.0,3800.0,4815.88,투수
손현기,2024,16125,3000.0,3100.0,4239.1,투수
이종민,2024,14576,3200.0,3600.0,4917.84,투수
박범준,2024,16133,3000.0,3100.0,3343.8,투수
전준표,2024,16122,3000.0,3200.0,4329.0,투수
오석주,2024,12860,4000.0,3900.0,5529.78,투수
조영건,2024,14132,4000.0,3800.0,5458.86,투수
윤석원,2024,15071,4300.0,6000.0,5267.9,투수
채은성,2024,11215,160000.0,120000.0,172840.448,1루수
오스틴,2024,15532,80000.0,168000.0,120976.808,1루수
박동원,2024,10387,300000.0,170000.0,167075.313,포수
박해민,2024,11190,140000.0,140000.0,125886.938,중견수
김현수,2024,10187,225000.0,175000.0,196272.074,좌익수
레이예스,2024,16106,91000.0,112000.0,173457.501,우익수
전준우,2024,10266,130000.0,40000.0,139318.807,좌익수
유강남,2024,10753,200000.0,210000.0,133483.974,포수
노진혁,2024,11165,120000.0,130000.0,119527.611,유격수
나성범,2024,11162,180000.0,180000.0,166670.22,우익수
최형우,2024,10344,100000.0,100000.0,128701.898,좌익수
로하스,2024,12995,50000.0,210000.0,154023.627,좌익수
황재균,2024,10407,162500.0,112500.0,155782.057,3루수
구자욱,2024,10892,200000.0,200000.0,184139.416,우익수
최정,2024,10106,100000.0,170000.0,121571.373,3루수
에레디아,2024,15530,115000.0,224000.0,125622.899,좌익수
박민우,2024,11137,170000.0,160000.0,138655.467,2루수
데이비슨,2024,16066,91000.0,168000.0,143835.299,1루수
박건우,2024,10189,146666.0,136666.0,160358.79,우익수
박세혁,2024,10891,115000.0,105000.0,80546.254,포수
손아섭,2024,10261,115000.0,115000.0,116302.408,우익수
양의지,2024,10165,160000.0,270000.0,151034.417,포수
허경민,2024,10184,122500.0,30000.0,115324.27,3루수
김재환,2024,10643,287500.0,237500.0,184986.631,좌익수
