선수,연봉(만원),WAR,WAR당 연봉,팀,pid
최재훈,100000,2.06,48459,한화 이글스,10170
정우람,80000,0.20,395107,한화 이글스,10156
킹험,70000,0.46,151248,한화 이글스,14582
터크먼,70000,4.05,17268,한화 이글스,15012
페냐,40000,1.39,28851,한화 이글스,15146
카펜터,35000,0.66,53415,한화 이글스,14760
라미레즈,27500,1.39,19799,한화 이글스,15145
장시환,21000,0.30,69661,한화 이글스,10453
하주석,20090,0.97,20752,한화 이글스,10913
김민우,19100,3.24,5898,한화 이글스,11410
정은원,19080,2.81,6792,한화 이글스,13137
강재민,15000,0.27,54799,한화 이글스,14708
박상원,13300,0.18,74020,한화 이글스,12871
노수광,12840,1.69,7593,한화 이글스,11268
노시환,12000,2.07,5811,한화 이글스,14125
윤대경,9730,-0.46,-21213,한화 이글스,11110
김범수,9680,0.62,15517,한화 이글스,11411
김종수,7900,-0.65,-12210,한화 이글스,11117
장민재,7600,3.15,2416,한화 이글스,10610
이성곤,6400,0.20,32395,한화 이글스,11206
윤호솔,6350,-0.05,-123835,한화 이글스,11170
이해창,6000,-0.28,-21273,한화 이글스,10391
장진혁,5800,0.61,9446,한화 이글스,12583
김태연,5600,1.56,3599,한화 이글스,12585
김재영,5500,-0.48,-11370,한화 이글스,12547
신정락,5400,-0.28,-19114,한화 이글스,10516
장운호,5350,0.75,7181,한화 이글스,11122
주현상,5080,-0.64,-7950,한화 이글스,11415
이민우,4800,-0.24,-19602,한화 이글스,13003
송윤준,4100,-0.01,-591925,한화 이글스,10748
백용환,4000,-0.01,-446476,한화 이글스,10003
임준섭,4000,0.01,278100,한화 이글스,10795
김기중,3900,-0.11,-34431,한화 이글스,14808
이진영,3600,-0.09,-40741,한화 이글스,12539
임종찬,3600,-0.30,-11987,한화 이글스,14706
김기탁,3500,-,-,한화 이글스,12875
박정현,3500,1.46,2399,한화 이글스,14704
황영국,3400,-,-,한화 이글스,11278
이도윤,3400,-0.36,-9491,한화 이글스,11414
허관회,3370,-0.15,-22848,한화 이글스,14204
류희운,3300,-0.18,-18420,한화 이글스,12655
이원석,3300,-0.46,-7183,한화 이글스,13138
유로결,3300,-0.90,-3649,한화 이글스,14126
남지민,3300,-0.09,-35358,한화 이글스,14619
강상원,3250,0.00,26752274,한화 이글스,12564
이충호,3200,-0.05,-64257,한화 이글스,11116
박상언,3200,0.02,164932,한화 이글스,12587
김인환,3200,2.42,1323,한화 이글스,12589
박윤철,3200,0.09,35140,한화 이글스,14129
장규현,3200,-,-,한화 이글스,14811
장지승,3200,-,-,한화 이글스,14880
이승관,3100,-0.02,-124811,한화 이글스,13135
윤산흠,3100,0.93,3327,한화 이글스,14196
김건,3100,-,-,한화 이글스,14209
신지후,3100,-,-,한화 이글스,14620
송호정,3100,-,-,한화 이글스,14812
정민규,3100,-0.31,-10055,한화 이글스,14813
원혁재,3000,-0.42,-7175,한화 이글스,12872
이성원,3000,-,-,한화 이글스,13140
김민기,3000,-,-,한화 이글스,13141
권광민,3000,0.03,103566,한화 이글스,13676
변우혁,3000,-0.05,-55318,한화 이글스,14124
정이황,3000,-,-,한화 이글스,14127
한승주,3000,0.02,133323,한화 이글스,14621
최이경,3000,-,-,한화 이글스,14715
조은,3000,-,-,한화 이글스,14810
김규연,3000,-0.06,-46958,한화 이글스,14871
문승진,3000,-,-,한화 이글스,14874
이준기,3000,-,-,한화 이글스,14875
조현진,3000,-,-,한화 이글스,14877
안창호,3000,-,-,한화 이글스,14878
이종완,3000,-,-,한화 이글스,14879
문동주,3000,0.20,14900,한화 이글스,15013
박준영,3000,-0.23,-13015,한화 이글스,15014
허인서,3000,-0.32,-9270,한화 이글스,15015
유민,3000,-,-,한화 이글스,15016
양경모,3000,-,-,한화 이글스,15017
김겸재,3000,-,-,한화 이글스,15018
이성민,3000,-,-,한화 이글스,15019
이재민,3000,-0.08,-36636,한화 이글스,15020
신현수,3000,-,-,한화 이글스,15021
노석진,3000,-,-,한화 이글스,15022
민승기,3000,-,-,한화 이글스,15137
전승우,3000,-,-,한화 이글스,15138
이상혁,3000,-,-,한화 이글스,15139
김준석,3000,-,-,한화 이글스,15140
유상빈,3000,-0.05,-64941,한화 이글스,15141
최현준,3000,-,-,한화 이글스,15142
오세훈,-,-,-,한화 이글스,14835
김현수,150000,4.81,31210,LG 트윈스,10187
켈리,90000,5.18,17370,LG 트윈스,13934
오지환,60000,6.99,8585,LG 트윈스,10475
박해민,60000,6.52,9207,LG 트윈스,11190
루이즈,60000,-0.22,-269895,LG 트윈스,15002
플럿코,50000,5.18,9655,LG 트윈스,15003
홍창기,32000,4.00,7996,LG 트윈스,12546
진해수,30000,1.05,28504,LG 트윈스,10075
차우찬,30000,-,-,LG 트윈스,10381
채은성,28000,2.06,13581,LG 트윈스,11215
정우영,28000,0.84,33476,LG 트윈스,14136
유강남,27000,3.45,7817,LG 트윈스,10753
고우석,27000,2.61,10351,LG 트윈스,12907
서건창,26000,-0.05,-483197,LG 트윈스,10855
임찬규,20000,0.67,29679,LG 트윈스,10652
김민성,18000,-0.44,-40562,LG 트윈스,10238
가르시아,18000,0.29,61724,LG 트윈스,15150
송은범,15000,0.31,48216,LG 트윈스,10137
이정용,14000,0.21,68163,LG 트윈스,14134
김대유,12500,1.23,10179,LG 트윈스,10706
함덕주,12000,0.34,35784,LG 트윈스,11094
이형종,12000,0.34,35508,LG 트윈스,12516
최성훈,10500,0.60,17363,LG 트윈스,10851
허도환,10000,-0.06,-155806,LG 트윈스,10684
이천웅,10000,-0.06,-175100,LG 트윈스,10935
김진성,10000,0.83,12072,LG 트윈스,11166
이민호,9800,0.25,39609,LG 트윈스,14589
이상호,8500,-0.13,-64334,LG 트윈스,11147
정주현,8000,-,-,LG 트윈스,10480
구본혁,7000,-,-,LG 트윈스,14140
김윤식,7000,2.64,2648,LG 트윈스,14588
문보경,6800,4.93,1380,LG 트윈스,14137
최동환,6000,0.20,29560,LG 트윈스,10535
안익훈,5500,-0.04,-146251,LG 트윈스,11347
이영빈,5500,0.13,41155,LG 트윈스,14783
이재원,5200,1.62,3205,LG 트윈스,13104
임정우,5000,-,-,LG 트윈스,10713
이우찬,5000,1.11,4487,LG 트윈스,10749
배재준,5000,0.79,6306,LG 트윈스,12697
백승현,5000,-0.33,-15290,LG 트윈스,13009
신민재,5000,0.06,83306,LG 트윈스,13056
문성주,4200,3.62,1160,LG 트윈스,13112
채지선,4000,0.19,20766,LG 트윈스,11387
김호은,4000,-0.05,-83065,LG 트윈스,12554
류원석,4000,-,-,LG 트윈스,13251
임준형,4000,-0.32,-12461,LG 트윈스,14142
한석현,3900,-0.10,-40377,LG 트윈스,13250
손주영,3800,0.04,103749,LG 트윈스,12908
이상규,3700,-,-,LG 트윈스,13245
박재욱,3500,0.00,2212599,LG 트윈스,12512
오석주,3500,0.04,81877,LG 트윈스,12860
김영준,3500,0.45,7706,LG 트윈스,13102
손호영,3500,0.34,10427,LG 트윈스,14590
김주성,3300,-,-,LG 트윈스,12545
강정현,3300,-,-,LG 트윈스,14138
최민창,3200,-0.06,-53338,LG 트윈스,11351
김태형,3200,-,-,LG 트윈스,12863
전준호,3200,-,-,LG 트윈스,12864
한선태,3200,-,-,LG 트윈스,14144
이찬혁,3100,-,-,LG 트윈스,12909
임지섭,3000,-,-,LG 트윈스,11211
김기연,3000,0.03,89536,LG 트윈스,12549
이동규,3000,-,-,LG 트윈스,12553
김성협,3000,-,-,LG 트윈스,12911
성동현,3000,-,-,LG 트윈스,13103
최현준,3000,-,-,LG 트윈스,13105
조선명,3000,-,-,LG 트윈스,13106
이강욱,3000,-,-,LG 트윈스,13107
김의준,3000,-,-,LG 트윈스,13108
송찬의,3000,0.52,5809,LG 트윈스,13109
이지강,3000,0.15,19442,LG 트윈스,14143
강효종,3000,0.13,22585,LG 트윈스,14780
조건희,3000,-,-,LG 트윈스,14782
김단우,3000,-,-,LG 트윈스,14841
김유민,3000,-,-,LG 트윈스,14842
김지용,3000,-,-,LG 트윈스,14843
김형욱,3000,-,-,LG 트윈스,14844
송승기,3000,-0.05,-63826,LG 트윈스,14846
조원태,3000,0.16,19108,LG 트윈스,15078
김주완,3000,0.05,57056,LG 트윈스,15079
최용하,3000,-,-,LG 트윈스,15080
이주헌,3000,-,-,LG 트윈스,15081
이지훈,3000,-,-,LG 트윈스,15082
허준혁,3000,-0.08,-36117,LG 트윈스,15083
최원영,3000,-,-,LG 트윈스,15084
김성우,3000,-,-,LG 트윈스,15085
문정빈,3000,-,-,LG 트윈스,15086
양진혁,3000,-,-,LG 트윈스,15087
엄태경,3000,-,-,LG 트윈스,15088
안치홍,100000,2.85,35102,롯데 자이언츠,10014
이대호,80000,3.68,21749,롯데 자이언츠,10251
피터스,60000,1.46,41049,롯데 자이언츠,15009
정훈,55000,-0.04,-1372030,롯데 자이언츠,10253
전준우,50000,1.55,32270,롯데 자이언츠,10266
스파크맨,50000,1.27,39243,롯데 자이언츠,15010
반즈,46000,5.75,7994,롯데 자이언츠,15011
스트레일리,40000,2.46,16246,롯데 자이언츠,14627
렉스,31370,2.94,10676,롯데 자이언츠,15152
김원중,28000,0.65,43184,롯데 자이언츠,10825
박세웅,26000,4.01,6481,롯데 자이언츠,11310
구승민,18100,1.92,9448,롯데 자이언츠,11291
한동희,17200,2.15,8018,롯데 자이언츠,13145
최준용,10700,1.30,8218,롯데 자이언츠,14624
문경찬,9000,-0.13,-70097,롯데 자이언츠,11299
이인복,8500,3.52,2416,롯데 자이언츠,11232
서준원,8400,1.16,7259,롯데 자이언츠,14159
강윤구,7300,0.05,152973,롯데 자이언츠,10423
이학주,7000,-0.62,-11227,롯데 자이언츠,14114
김대우,6500,-0.07,-89296,롯데 자이언츠,10271
진명호,6500,-0.09,-73192,롯데 자이언츠,10301
안중열,6400,-0.19,-33272,롯데 자이언츠,11329
추재현,6400,-0.23,-28101,롯데 자이언츠,13094
지시완,6000,0.68,8883,롯데 자이언츠,11413
김재유,6000,-0.08,-77227,롯데 자이언츠,11483
나균안,5800,2.76,2098,롯데 자이언츠,12930
김도규,5700,0.98,5811,롯데 자이언츠,13148
김민수,5300,0.33,16251,롯데 자이언츠,12931
이승헌,5300,-0.05,-107438,롯데 자이언츠,13146
김진욱,5100,0.32,16014,롯데 자이언츠,14792
신용수,4900,0.88,5582,롯데 자이언츠,14169
김유영,4800,-0.32,-15139,롯데 자이언츠,11229
최영환,4700,-0.11,-44137,롯데 자이언츠,11276
배성근,4200,-0.52,-8024,롯데 자이언츠,13279
정성종,4100,-0.01,-602710,롯데 자이언츠,13147
나승엽,4000,-,-,롯데 자이언츠,14797
고승민,3800,2.05,1855,롯데 자이언츠,14160
강로한,3600,-0.04,-97358,롯데 자이언츠,11389
장두성,3500,-0.08,-46178,롯데 자이언츠,13155
정보근,3400,-0.67,-5112,롯데 자이언츠,13154
조무근,3300,0.00,-1502123,롯데 자이언츠,11322
강태율,3300,-0.41,-8027,롯데 자이언츠,11388
박선우,3300,-,-,롯데 자이언츠,12569
김주현,3300,-,-,롯데 자이언츠,12570
최민재,3200,-,-,롯데 자이언츠,13004
박명현,3200,-,-,롯데 자이언츠,14622
윤성빈,3100,-,-,롯데 자이언츠,12928
나원탁,3100,-0.06,-53097,롯데 자이언츠,12935
김동우,3100,-,-,롯데 자이언츠,13149
박진,3100,-,-,롯데 자이언츠,14163
김창훈,3100,0.01,414954,롯데 자이언츠,14793
송재영,3100,-,-,롯데 자이언츠,14794
정우준,3100,-,-,롯데 자이언츠,14795
박승욱,3000,0.18,16611,롯데 자이언츠,10804
이태오,3000,-,-,롯데 자이언츠,10887
김강현,3000,-,-,롯데 자이언츠,12699
이호연,3000,-0.15,-19768,롯데 자이언츠,13151
최건,3000,-0.08,-37153,롯데 자이언츠,13169
강민성,3000,-,-,롯데 자이언츠,14161
김민수,3000,-0.07,-45767,롯데 자이언츠,14168
이강준,3000,-0.08,-37023,롯데 자이언츠,14601
김건우,3000,-,-,롯데 자이언츠,14631
김민기,3000,-0.03,-114999,롯데 자이언츠,14635
신학진,3000,-,-,롯데 자이언츠,14637
황성빈,3000,-0.08,-36231,롯데 자이언츠,14642
정대혁,3000,-,-,롯데 자이언츠,14995
이민석,3000,-0.19,-15941,롯데 자이언츠,15045
조세진,3000,-0.61,-4881,롯데 자이언츠,15046
진승현,3000,-0.11,-27339,롯데 자이언츠,15047
윤동희,3000,-0.37,-8093,롯데 자이언츠,15048
김세민,3000,0.01,442279,롯데 자이언츠,15049
하혜성,3000,-,-,롯데 자이언츠,15050
한태양,3000,-0.38,-7894,롯데 자이언츠,15051
엄장윤,3000,-,-,롯데 자이언츠,15052
김서진,3000,-,-,롯데 자이언츠,15053
김용완,3000,-,-,롯데 자이언츠,15054
경우진,3000,-,-,롯데 자이언츠,15133
김승준,3000,-,-,롯데 자이언츠,15134
민성우,3000,-,-,롯데 자이언츠,15135
김동욱,3000,-,-,롯데 자이언츠,15136
나성범,200000,7.80,25651,KIA 타이거즈,11162
양현종,100000,3.11,32190,KIA 타이거즈,10058
최형우,90000,3.30,27292,KIA 타이거즈,10344
소크라테스,50000,4.54,11004,KIA 타이거즈,14996
김선빈,45000,3.36,13408,KIA 타이거즈,10008
놀린,35000,4.34,8065,KIA 타이거즈,14998
박동원,31000,4.59,6750,KIA 타이거즈,10387
로니,30000,-0.02,-1757675,KIA 타이거즈,14997
파노니,30000,2.65,11319,KIA 타이거즈,15147
장현식,20000,0.77,25821,KIA 타이거즈,11164
정해영,17000,1.19,14238,KIA 타이거즈,14608
나지완,15000,-0.02,-896673,KIA 타이거즈,10030
임기영,14000,2.54,5510,KIA 타이거즈,10909
박준표,12500,-0.27,-45484,KIA 타이거즈,11070
박찬호,12000,4.10,2928,KIA 타이거즈,11261
전상현,11000,0.98,11245,KIA 타이거즈,12537
류지혁,10500,2.19,4796,KIA 타이거즈,10894
홍상삼,10000,0.00,3549674,KIA 타이거즈,10230
이의리,9000,2.36,3814,KIA 타이거즈,14788
한승택,8500,-0.11,-80152,KIA 타이거즈,11119
고종욱,7000,0.46,15176,KIA 타이거즈,10659
강경학,7000,-,-,KIA 타이거즈,10676
이창진,7000,2.51,2787,KIA 타이거즈,11233
이준영,6700,1.24,5417,KIA 타이거즈,11303
황대인,6500,-0.10,-67246,KIA 타이거즈,11306
윤중현,6500,-0.06,-107879,KIA 타이거즈,13122
김호령,6000,0.22,27018,KIA 타이거즈,11298
박진태,6000,-,-,KIA 타이거즈,12913
한승혁,5300,0.08,64417,KIA 타이거즈,10812
김규성,4300,-0.27,-16070,KIA 타이거즈,12540
고영창,4200,0.20,20756,KIA 타이거즈,11068
이우성,4100,0.14,28556,KIA 타이거즈,11099
류승현,4000,-0.03,-137242,KIA 타이거즈,12543
유승철,4000,-0.54,-7449,KIA 타이거즈,12914
이정훈,4000,-0.10,-41962,KIA 타이거즈,12916
김현수,4000,0.02,245170,KIA 타이거즈,14162
김기훈,4000,0.53,7601,KIA 타이거즈,14176
김재열,3900,-0.32,-12118,KIA 타이거즈,14747
최정용,3800,-0.41,-9297,KIA 타이거즈,11407
김유신,3700,-0.10,-37979,KIA 타이거즈,13114
최정민,3600,-,-,KIA 타이거즈,10808
서덕원,3600,-,-,KIA 타이거즈,12538
신범수,3600,-0.07,-54969,KIA 타이거즈,12541
이승재,3600,0.08,47395,KIA 타이거즈,14787
이준형,3500,-,-,KIA 타이거즈,10903
박정우,3500,0.03,113476,KIA 타이거즈,12869
김도현,3500,-0.12,-28423,KIA 타이거즈,14128
오선우,3500,-,-,KIA 타이거즈,14181
박민,3500,0.00,-1434332,KIA 타이거즈,14611
장민기,3500,-,-,KIA 타이거즈,14789
김현준,3400,-0.20,-17263,KIA 타이거즈,12533
남하준,3300,-0.24,-13777,KIA 타이거즈,12535
김정빈,3200,-0.28,-11254,KIA 타이거즈,11364
장지수,3200,0.14,23185,KIA 타이거즈,14178
권혁경,3200,-0.01,-281859,KIA 타이거즈,14790
김석환,3100,-0.31,-10105,KIA 타이거즈,12917
오정환,3100,-,-,KIA 타이거즈,13117
최용준,3100,-,-,KIA 타이거즈,14658
박건우,3100,-,-,KIA 타이거즈,14786
임석진,3000,-0.06,-49074,KIA 타이거즈,12612
강이준,3000,-,-,KIA 타이거즈,12866
송후섭,3000,-0.01,-229479,KIA 타이거즈,12867
박수용,3000,-,-,KIA 타이거즈,14182
김민수,3000,-,-,KIA 타이거즈,14183
김창용,3000,-,-,KIA 타이거즈,14184
나용기,3000,-,-,KIA 타이거즈,14186
김양수,3000,-,-,KIA 타이거즈,14645
장재혁,3000,0.00,5421181,KIA 타이거즈,14657
이인한,3000,-,-,KIA 타이거즈,14690
김선우,3000,0.04,72215,KIA 타이거즈,14822
이준범,3000,-,-,KIA 타이거즈,14823
이영재,3000,-,-,KIA 타이거즈,14826
김도영,3000,2.17,1383,KIA 타이거즈,15056
최지민,3000,-0.13,-22246,KIA 타이거즈,15057
윤도현,3000,-,-,KIA 타이거즈,15058
강병우,3000,-,-,KIA 타이거즈,15059
김찬민,3000,-,-,KIA 타이거즈,15060
이성주,3000,-,-,KIA 타이거즈,15061
백도렬,3000,-,-,KIA 타이거즈,15062
황동하,3000,-,-,KIA 타이거즈,15063
한승연,3000,-,-,KIA 타이거즈,15064
신명승,3000,-,-,KIA 타이거즈,15065
손진규,3000,-,-,KIA 타이거즈,15066
옥준호,3000,-,-,KIA 타이거즈,15123
윤민석,3000,-,-,KIA 타이거즈,15124
박상준,3000,-,-,KIA 타이거즈,15125
쿠에바스,80000,0.39,205307,KT 위즈,13942
데스파이네,70000,2.31,30246,KT 위즈,14602
라모스,65000,0.39,165857,KT 위즈,15000
박병호,60000,5.19,11567,KT 위즈,10470
강백호,55000,-0.12,-464029,KT 위즈,13168
장성우,50000,3.25,15400,KT 위즈,10235
알포드,47700,2.43,19664,KT 위즈,15144
황재균,40000,1.86,21487,KT 위즈,10407
고영표,30000,5.37,5584,KT 위즈,11308
주권,29500,1.02,28806,KT 위즈,11323
박경수,29000,-1.12,-25794,KT 위즈,10469
김재윤,28000,1.76,15922,KT 위즈,11489
배제성,27000,1.58,17139,KT 위즈,11394
배정대,26000,2.97,8746,KT 위즈,11212
심우준,26000,1.54,16844,KT 위즈,11334
조용호,24000,3.92,6129,KT 위즈,12943
벤자민,23100,3.13,7376,KT 위즈,15143
소형준,20000,4.75,4210,KT 위즈,14600
박시영,12000,0.21,57362,KT 위즈,10737
신본기,11500,-0.31,-37162,KT 위즈,10840
김민수,11500,2.57,4482,KT 위즈,11317
조현우,9500,0.20,48007,KT 위즈,11316
김민혁,9000,1.20,7493,KT 위즈,11339
오윤석,9000,1.78,5043,KT 위즈,11397
안영명,8500,0.02,360470,KT 위즈,10600
심재민,8200,0.34,24029,KT 위즈,11311
송민섭,8100,0.01,958464,KT 위즈,11342
전유수,8000,-0.15,-54591,KT 위즈,10841
엄상백,8000,4.17,1918,KT 위즈,11318
이창재,6700,-0.03,-220848,KT 위즈,11320
문상철,6600,-0.24,-27871,KT 위즈,11333
김준태,6500,1.89,3439,KT 위즈,10835
김민,5500,0.18,30967,KT 위즈,13167
하준호,5000,-0.19,-26147,KT 위즈,10304
김병희,4700,-0.45,-10389,KT 위즈,11330
천성호,4400,-,-,KT 위즈,14606
권동진,4200,0.13,32034,KT 위즈,14777
김태훈,4100,-0.15,-28023,KT 위즈,11336
홍현빈,4000,0.91,4383,KT 위즈,12941
장준원,3800,0.14,27965,KT 위즈,11214
이정현,3500,0.08,41416,KT 위즈,12937
김태오,3400,-0.02,-177761,KT 위즈,12577
조병욱,3400,-,-,KT 위즈,12939
이시원,3300,-0.16,-20897,KT 위즈,12526
안현준,3200,-,-,KT 위즈,11312
정주후,3200,-,-,KT 위즈,11337
문상인,3200,-0.09,-34531,KT 위즈,13227
지명성,3200,0.02,138126,KT 위즈,14775
김만수,3100,-,-,KT 위즈,12646
이종혁,3100,-,-,KT 위즈,12938
고명성,3100,0.02,200769,KT 위즈,13171
신병률,3100,-,-,KT 위즈,13173
한차현,3100,-,-,KT 위즈,14776
김한별,3000,-,-,KT 위즈,12620
안치영,3000,-,-,KT 위즈,13006
이채호,3000,0.45,6593,KT 위즈,13130
조대현,3000,-0.07,-40631,KT 위즈,13177
양승혁,3000,-0.04,-77633,KT 위즈,13233
고성민,3000,-,-,KT 위즈,14112
윤준혁,3000,-,-,KT 위즈,14605
문상준,3000,0.06,46881,KT 위즈,14720
김성균,3000,-,-,KT 위즈,14723
신범준,3000,-,-,KT 위즈,14774
유준규,3000,-0.10,-31294,KT 위즈,14778
김영현,3000,-,-,KT 위즈,14869
최성민,3000,-,-,KT 위즈,14870
김민서,3000,-,-,KT 위즈,14884
전진영,3000,-0.02,-159160,KT 위즈,14885
박영현,3000,0.60,4964,KT 위즈,15089
이상우,3000,0.00,-781144,KT 위즈,15090
한지웅,3000,-,-,KT 위즈,15091
안현민,3000,-,-,KT 위즈,15092
우종휘,3000,-,-,KT 위즈,15093
최동희,3000,-,-,KT 위즈,15094
정정우,3000,-,-,KT 위즈,15095
권성준,3000,-,-,KT 위즈,15096
김병준,3000,-,-,KT 위즈,15097
송현제,3000,-,-,KT 위즈,15098
안광준,3000,-,-,KT 위즈,15126
전용주,2800,-,-,KT 위즈,14106
임도혁,2700,-,-,KT 위즈,12576
박시윤,2700,-,-,KT 위즈,13170
