팀,선수,계약금,포지션
한화 이글스,김서현,500000000,투수
한화 이글스,김관우,90000000,투수
한화 이글스,한서구,50000000,투수
한화 이글스,송성훈,50000000,투수
한화 이글스,최원준,40000000,투수
한화 이글스,박재규,40000000,투수
한화 이글스,천보웅,30000000,투수
KIA 타이거즈,윤영철,320000000,투수
KIA 타이거즈,김세일,60000000,투수
KIA 타이거즈,곽도규,60000000,투수
KIA 타이거즈,이송찬,50000000,투수
KIA 타이거즈,이도현,40000000,투수
KIA 타이거즈,박일훈,40000000,투수
롯데 자이언츠,이진하,150000000,투수
롯데 자이언츠,서현원,110000000,투수
롯데 자이언츠,김기준,80000000,투수
롯데 자이언츠,이태연,60000000,투수
롯데 자이언츠,석상호,50000000,투수
롯데 자이언츠,조경민,40000000,투수
롯데 자이언츠,장세진,30000000,투수
NC 다이노스,신영우,250000000,투수
NC 다이노스,목지훈,80000000,투수
NC 다이노스,강건준,60000000,투수
NC 다이노스,이준호,60000000,투수
NC 다이노스,정주영,40000000,투수
NC 다이노스,서동욱,30000000,투수
NC 다이노스,김주환,30000000,투수
SSG 랜더스,이로운,250000000,투수
SSG 랜더스,송영진,150000000,투수
SSG 랜더스,안현서,80000000,투수
SSG 랜더스,류현곤,40000000,투수
SSG 랜더스,이승훈,40000000,투수
SSG 랜더스,김준영,30000000,투수
키움 히어로즈,오상원,110000000,투수
키움 히어로즈,박윤성,90000000,투수
LG 트윈스,김동규,130000000,투수
LG 트윈스,박명근,110000000,투수
LG 트윈스,원상훈,70000000,투수
LG 트윈스,허용주,50000000,투수
삼성 라이온즈,이호성,200000000,투수
삼성 라이온즈,박권후,130000000,투수
삼성 라이온즈,신윤호,80000000,투수
삼성 라이온즈,김시온,60000000,투수
삼성 라이온즈,박시원,40000000,투수
두산 베어스,최준호,200000000,투수
두산 베어스,김유성,150000000,투수
두산 베어스,장우진,100000000,투수
두산 베어스,한충희,50000000,투수
두산 베어스,백승우,50000000,투수
두산 베어스,류건우,30000000,투수
두산 베어스,남율,30000000,투수
KT 위즈,김정운,220000000,투수
KT 위즈,김건웅,80000000,투수
KT 위즈,임정균,70000000,투수
KT 위즈,정진호,40000000,투수
KT 위즈,이준명,30000000,투수
KT 위즈,강건,30000000,투수 