Name,Team,WAAwithPOS,G_x,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉(만원)
최재훈,24 C,0.902,115,95,791.2,811,746,60,5,99.4,9.16,0.35,,0.35,,0.19,1.24,-0.79,,1.57,1.95,8.3,9.88,0.144,101709,1.82,116,1.69,0.13,348,340,280,34,72,10,0,4,94,37,0,0,33,21,0,58,10,8,6,0.257,0.371,0.336,0.707,0.131,96.6,60000
이재원,24 C,0.277,71,40,354.0,332,304,27,1,99.7,8.42,-0.33,,0.78,,-0.17,0.17,-1.33,,-0.49,-0.99,3.53,3.04,-0.045,100829,-0.29,72,-0.24,-0.05,152,150,134,10,32,4,0,1,39,16,0,0,7,4,1,21,4,2,5,0.239,0.287,0.291,0.578,0.059,44.0,5000
김강민,24 CF,0.196,31,15,153.1,40,40,0,0,100.0,2.35,1.45,0.38,0.32,,,,,,2.14,7.52,0.0,2.14,0.196,101089,0.02,41,-0.17,0.19,87,87,76,5,17,0,0,1,20,7,0,0,8,3,0,21,1,0,0,0.224,0.322,0.263,0.585,0.08,58.8,11000
박상언,24 C,0.09,26,9,113.0,97,91,5,1,99.0,7.65,-0.15,,-0.09,,,-1.29,1.99,,-0.14,-0.76,1.13,0.99,-0.013,125879,0.47,27,0.48,-0.02,52,52,42,4,12,3,0,0,15,4,1,0,9,1,0,12,0,0,0,0.286,0.423,0.357,0.78,0.166,119.8,4200
한경빈,24 SS,0.015,1,0,2.0,2,1,1,0,100.0,9.0,-0.13,,0.02,0.25,,,,,0.14,20.42,0.02,0.16,0.013,156339,-0.01,1,-0.02,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-151.2,3000
노시환,24 3B,-0.024,126,125,1098.1,302,97,196,9,97.0,2.4,-3.43,,3.03,0.56,-0.43,,,,-0.27,-0.28,0.0,-0.27,-0.024,141259,2.41,136,2.5,-0.08,601,597,526,88,143,20,2,24,239,89,6,0,60,11,9,129,10,0,4,0.272,0.356,0.454,0.81,0.145,106.5,35000
장규현,24 C,-0.028,9,0,16.0,10,8,1,1,90.0,5.06,0.0,,-0.44,,,-0.11,0.13,,-0.47,-7.54,0.17,-0.3,-0.043,148119,-0.14,9,-0.1,-0.04,7,7,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.143,0.0,0.143,-0.086,-63.4,3200
김서현,24 P,,37,0,38.1,5,0,5,0,100.0,1.17,,,,,,,,,0.0,0.0,,,0.0,154219,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3300
장민재,24 P,,26,0,29.0,2,1,1,0,100.0,0.62,,,,,,,,,0.0,0.0,,,0.0,106109,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,15000
박상원,24 P,,64,0,66.2,6,2,3,1,83.3,0.68,,,,,,,,,0.0,0.0,,,0.0,128719,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,19500
주현상,24 P,,62,0,71.1,12,2,10,0,100.0,1.51,,,,,,,,,0.0,0.0,,,0.0,114159,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11000
박동원,24 C,1.975,124,109,944.2,890,809,77,4,99.6,8.44,1.14,,1.4,,0.07,2.15,8.55,,10.75,11.91,10.87,21.62,0.982,103876,4.4,130,3.43,0.96,498,495,434,58,118,22,0,20,200,80,1,0,55,0,2,112,14,2,7,0.272,0.349,0.461,0.81,0.144,111.0,250000
오지환,24 SS,1.027,107,97,858.0,400,150,238,12,97.0,4.07,1.33,,1.59,-0.02,,,,,2.9,3.86,8.34,11.24,0.265,104756,3.0,108,2.67,0.33,428,426,370,67,94,24,2,10,152,59,17,4,51,4,0,106,8,2,1,0.254,0.35,0.411,0.761,0.136,104.5,30000
박해민,24 CF,0.614,143,128,1127.0,286,283,2,1,99.7,2.28,4.18,0.71,1.84,,,,,,6.72,6.72,0.0,6.72,0.614,111906,2.03,144,1.44,0.59,553,548,482,72,127,16,6,6,173,56,43,13,46,11,0,101,3,5,9,0.263,0.336,0.359,0.695,0.112,86.1,60000
백승현,24 P,0.0,33,0,26.2,6,0,5,1,83.3,1.69,,,,,,,,,0.0,0.0,0.0,0.0,0.0,130096,-0.03,3,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.19,-151.2,9200
정우영,24 P,0.0,27,0,22.2,7,0,7,0,100.0,2.78,,,,,,,,,0.0,0.0,0.0,0.0,0.0,141366,-0.03,1,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-127.9,32000
송찬의,24 LF,-0.013,3,2,17.0,4,4,0,0,100.0,2.12,0.24,-0.34,0.02,,,,,,-0.08,-1.17,-0.06,-0.14,-0.007,131096,-0.13,10,-0.12,-0.01,21,20,15,2,1,0,0,0,1,1,1,0,3,1,0,6,0,1,1,0.067,0.25,0.067,0.317,0.003,2.3,3600
최명경,24 3B,-0.056,1,0,6.0,2,1,1,0,100.0,3.0,-0.41,,0.04,-0.24,,,,,-0.61,-87.82,0.0,-0.61,-0.056,160266,-0.06,1,0.0,-0.06,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,0.089,63.3,3000
이주헌,24 C,-0.077,3,1,14.0,20,20,0,0,100.0,12.86,0.0,,0.05,,,-0.42,-0.88,,-0.99,-47.48,0.14,-0.85,-0.09,150816,0.13,3,0.22,-0.09,6,6,6,0,4,2,0,0,6,3,0,0,0,0,0,2,0,0,0,0.667,0.667,1.0,1.667,0.487,367.5,3000
김성우,24 C,-0.13,4,2,16.0,8,7,1,0,100.0,4.5,-0.09,,0.06,,0.05,-0.3,-1.75,,-1.52,-54.61,0.1,-1.42,-0.139,150856,-0.26,4,-0.12,-0.14,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.19,-139.9,3100
허도환,24 C,-0.195,58,27,250.0,229,219,8,2,99.1,8.17,-0.24,,-0.1,,,-1.17,-4.38,,-4.58,-11.18,2.45,-2.13,-0.418,106846,-0.64,59,-0.22,-0.42,105,100,80,10,11,2,0,0,13,11,0,1,9,10,0,26,4,5,1,0.138,0.3,0.163,0.463,0.059,44.6,10000
오스틴,24 1B,-0.7,106,105,863.0,810,728,74,8,99.0,8.36,1.3,,0.25,,-0.01,,,,1.54,1.58,-9.2,-7.66,0.141,155326,5.06,140,4.9,0.17,604,600,527,99,168,32,3,32,302,132,12,8,61,3,6,82,9,0,13,0.319,0.384,0.573,0.957,0.192,147.8,80000
김대원,24 2B,,1,0,1.0,2,1,1,0,100.0,18.0,-0.2,,0.01,,,,,,-0.2,-1.5,,,-0.018,160166,0.04,19,0.06,-0.02,4,4,4,5,2,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,0.229,174.5,3000
김대현,24 P,,35,0,35.0,1,0,1,0,100.0,0.26,,,,,,,,,0.0,0.0,,,0.0,125326,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,5700
유영찬,24 P,,61,0,63.2,8,4,4,0,100.0,1.13,,,,,,,,,0.0,0.0,,,0.0,146696,0.0,7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8500
이지강,24 P,,44,2,53.2,10,4,6,0,100.0,1.68,,,,,,,,,0.0,0.0,,,0.0,141436,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6800
함덕주,24 P,,14,0,11.2,3,0,3,0,100.0,2.31,,,,,,,,,0.0,0.0,,,0.0,110946,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20000
김유영,24 P,,52,2,47.2,9,0,6,3,66.7,1.13,,,,,,,,,0.0,0.0,,,0.0,112296,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6700
진우영,24 P,,6,0,7.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,160156,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
최동환,24 P,,25,0,22.0,7,4,3,0,100.0,2.86,,,,,,,,,0.0,0.0,,,0.0,105356,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,13000
이종준,24 P,,26,0,26.0,3,1,2,0,100.0,1.04,,,,,,,,,0.0,0.0,,,0.0,146516,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
박명근,24 P,,30,0,25.1,2,0,2,0,100.0,0.71,,,,,,,,,0.0,0.0,,,0.0,154866,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6500
김진성,24 P,,70,0,70.1,10,4,5,1,90.0,1.15,,,,,,,,,0.0,0.0,,,0.0,111666,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20000
임준형,24 P,,17,1,13.2,2,1,1,0,100.0,1.32,,,,,,,,,0.0,0.0,,,0.0,141426,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,4800
전준호,24 C,,3,0,5.0,5,4,1,0,100.0,9.0,0.33,,0.02,,,,-0.27,,0.16,7.49,,,0.014,128646,-0.01,3,-0.03,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-134.5,3300
김영준,24 P,,14,0,15.1,3,1,2,0,100.0,1.76,,,,,,,,,0.0,0.0,,,0.0,131026,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3600
유강남,24 C,0.5,50,42,324.2,303,277,23,3,99.0,8.32,0.59,,-0.33,,,1.0,0.89,,1.88,5.2,3.6,5.48,0.171,107532,0.08,52,-0.08,0.16,155,153,136,11,26,3,0,5,44,20,0,0,9,7,0,25,4,2,1,0.191,0.275,0.324,0.599,0.071,50.3,100000
정보근,24 C,0.291,89,42,379.1,373,335,34,4,98.9,8.75,0.41,,-0.64,,0.03,0.39,-0.49,,-0.15,-0.25,3.34,3.18,-0.014,131542,-0.63,89,-0.61,-0.02,140,136,133,9,30,0,1,2,38,7,0,0,3,0,0,31,5,4,0,0.226,0.243,0.286,0.529,0.03,21.4,7500
손성빈,24 C,0.228,86,52,445.2,443,414,25,4,99.1,8.87,-1.0,,-0.4,,0.22,-1.43,1.43,,-1.61,-2.7,4.1,2.49,-0.147,147962,0.08,86,0.19,-0.11,171,170,152,24,30,6,2,6,58,21,0,0,13,3,0,38,3,1,2,0.197,0.271,0.382,0.653,0.082,58.7,5000
정대선,24 2B,0.093,2,0,4.0,5,2,3,0,100.0,11.25,0.62,,0.02,0.37,,,,,1.01,48.62,0.01,1.02,0.093,154432,0.04,3,-0.05,0.09,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.19,-142.1,3200
강태율,24 C,-0.003,10,3,28.0,31,29,1,1,96.8,9.64,0.0,,-0.4,,,-0.12,0.4,,-0.25,-3.55,0.22,-0.03,-0.023,113882,-0.26,10,-0.24,-0.02,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.19,-132.2,3600
강승구,24 C,-0.027,5,0,7.0,6,6,0,0,100.0,7.71,-0.09,,0.03,,,,-0.39,,-0.34,-9.82,0.05,-0.29,-0.031,161022,-0.08,5,-0.05,-0.03,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-127.9,3000
서동욱,24 C,-0.037,32,5,95.0,86,75,10,1,98.8,8.05,-0.15,,-0.16,,0.05,0.18,-1.35,,-1.03,-4.5,0.62,-0.41,-0.094,156242,-0.45,33,-0.35,-0.1,27,27,26,2,3,1,0,0,4,0,0,0,0,1,0,8,1,0,0,0.115,0.148,0.154,0.302,-0.052,-37.8,3300
한동희,24 3B,-0.237,6,6,32.1,10,1,7,2,80.0,2.23,-1.75,,-0.78,-0.41,0.34,,,,-2.6,-26.73,0.0,-2.6,-0.237,131452,-0.55,14,-0.31,-0.25,36,36,35,1,9,2,0,0,11,3,0,0,1,0,1,9,1,0,0,0.257,0.278,0.314,0.592,0.052,37.4,16200
전준우,24 LF,-0.54,47,47,381.1,90,87,2,1,98.9,2.1,-4.1,0.3,-0.07,,,,,,-3.87,-5.11,-2.04,-5.91,-0.353,102662,1.8,109,2.15,-0.36,483,482,423,57,124,26,2,17,205,82,3,1,49,5,0,84,11,1,5,0.293,0.369,0.485,0.854,0.163,115.7,130000
나승엽,24 1B,-1.582,113,111,937.1,891,813,67,11,98.8,8.45,-6.9,,-0.89,,-0.1,,,,-7.89,-9.39,-9.42,-17.31,-0.721,147972,2.22,121,2.83,-0.61,489,486,407,59,127,35,4,7,191,66,1,0,69,4,1,83,4,2,7,0.312,0.411,0.469,0.88,0.182,129.7,4000
현도훈,24 P,,7,0,10.0,3,1,2,0,100.0,2.7,,,,,,,,,0.0,0.0,,,0.0,132712,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3200
강성우,24 SS,,1,0,1.0,0,0,0,0,0.0,0.0,,,0.01,,,,,,0.01,0.64,,,0.001,160932,0.0,2,0.0,0.0,3,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.5,0.5,0.5,1.0,0.229,173.1,3000
김상수,24 P,,71,0,73.2,15,1,13,1,93.3,1.71,,,,,,,,,0.0,0.0,,,0.0,104272,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16000
김강현,24 P,,24,0,25.1,8,3,5,0,100.0,2.84,,,,,,,,,0.0,0.0,,,0.0,126992,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3200
김원중,24 P,,54,0,63.1,10,3,6,1,90.0,1.28,,,,,,,,,0.0,0.0,,,0.0,108252,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,50000
박찬호,24 SS,1.374,132,129,1120.1,564,213,328,23,95.9,4.35,4.92,,-0.6,-0.75,,,,,3.57,3.83,11.48,15.05,0.326,112610,2.78,134,2.58,0.2,577,570,515,86,158,24,1,5,199,61,20,13,48,1,1,44,9,7,6,0.307,0.363,0.386,0.749,0.129,95.7,30000
김태군,24 C,0.858,101,82,640.2,611,567,38,6,99.0,8.5,0.81,,-0.7,,0.11,-1.1,5.58,,3.03,4.15,6.36,9.39,0.277,104590,1.13,105,0.81,0.32,270,259,235,24,62,7,0,7,90,34,0,0,12,11,0,24,14,11,1,0.264,0.328,0.383,0.711,0.115,85.3,70000
한준수,24 C,0.447,103,60,600.1,584,541,39,4,99.3,8.7,-0.57,,0.16,,0.21,0.75,-3.09,,-1.61,-2.02,6.5,4.89,-0.147,131130,1.54,115,1.66,-0.12,316,316,287,39,88,22,0,7,131,41,0,0,21,2,1,48,7,0,6,0.307,0.351,0.456,0.807,0.141,105.2,5000
김호령,24 CF,0.215,61,9,177.0,64,62,0,2,96.9,3.15,3.13,-0.14,-0.64,,,,,,2.36,5.3,0.0,2.36,0.215,112980,-0.23,64,-0.44,0.21,67,67,59,12,8,2,0,1,13,4,3,2,8,0,0,25,1,0,0,0.136,0.239,0.22,0.459,0.021,16.0,9000
황대인,24 1B,-0.053,2,2,10.0,10,9,1,0,100.0,9.0,-0.51,,0.05,,,,,,-0.46,-22.06,-0.12,-0.58,-0.042,113060,-0.05,3,-0.01,-0.04,7,7,7,1,2,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0.286,0.286,0.429,0.715,0.1,74.4,8000
고종욱,24 LF,-0.096,8,3,25.0,4,4,0,0,100.0,1.44,-0.8,-0.16,0.03,,,,,,-0.93,-4.78,-0.12,-1.05,-0.085,106590,-0.02,28,0.06,-0.09,36,36,32,3,8,2,0,1,13,4,0,0,4,0,0,6,2,0,0,0.25,0.333,0.406,0.739,0.122,92.0,15000
한승택,24 C,-0.145,19,2,47.0,52,43,7,2,96.2,9.57,0.34,,-0.83,,,0.34,-2.5,,-1.9,-13.65,0.31,-1.58,-0.173,111190,-0.07,20,0.11,-0.17,15,15,11,2,3,0,0,0,3,2,0,0,4,0,0,1,0,0,0,0.273,0.467,0.273,0.74,0.171,128.3,6500
최형우,24 LF,-0.351,16,15,117.0,16,14,0,2,87.5,1.08,-2.74,0.43,-0.87,,,,,,-3.18,-3.95,-0.66,-3.84,-0.291,103440,1.54,116,1.83,-0.29,487,486,425,67,119,23,2,22,212,109,1,1,52,5,4,86,5,0,5,0.28,0.361,0.499,0.86,0.161,119.0,100000
나성범,24 RF,-0.385,67,67,505.0,97,91,5,1,99.0,1.71,-2.51,0.08,1.02,,,,,,-1.4,-1.98,-2.81,-4.21,-0.128,111620,1.73,102,1.89,-0.16,424,422,374,51,109,17,1,21,191,80,0,0,38,4,1,98,8,0,7,0.291,0.357,0.511,0.868,0.16,118.4,80000
이형범,24 P,,14,0,15.0,5,4,1,0,100.0,3.0,,,,,,,,,0.0,0.0,,,0.0,111590,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7000
김사윤,24 P,,23,2,37.0,7,0,6,1,85.7,1.46,,,,,,,,,0.0,0.0,,,0.0,113640,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3400
김민주,24 P,,2,0,1.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,160820,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
김승현,24 P,,14,0,18.0,5,0,3,2,60.0,1.5,,,,,,,,,0.0,0.0,,,0.0,126370,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,4100
전상현,24 P,,66,0,66.0,9,2,6,1,88.9,1.09,,,,,,,,,0.0,0.0,,,0.0,125370,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17000
황동하,24 P,,25,21,103.1,18,5,13,0,100.0,1.57,,,,,,,,,0.0,0.0,,,0.0,150630,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3500
곽도규,24 P,,67,0,55.2,13,3,7,3,76.9,1.62,,,,,,,,,0.0,0.0,,,0.0,154350,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3300
최지민,24 P,,54,0,46.0,7,2,4,1,85.7,1.17,,,,,,,,,0.0,0.0,,,0.0,150570,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,10000
정해영,24 P,,53,0,50.2,8,3,5,0,100.0,1.42,,,,,,,,,0.0,0.0,,,0.0,146080,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20000
장성우,24 C,1.046,114,105,856.1,838,780,56,2,99.8,8.79,-0.84,,2.09,,0.32,-3.44,3.83,,0.82,0.9,10.63,11.45,0.075,102358,3.23,131,3.13,0.1,489,486,418,53,112,19,0,19,188,81,5,0,60,1,1,86,8,2,8,0.268,0.355,0.45,0.805,0.144,104.2,50000
조대현,24 C,0.392,26,12,120.0,111,100,11,0,100.0,8.33,-0.15,,0.43,,0.05,2.57,0.44,,3.21,17.79,1.08,4.29,0.293,131778,0.46,26,0.17,0.29,45,40,36,2,11,2,0,0,13,3,0,0,3,0,0,12,1,5,1,0.306,0.35,0.361,0.711,0.113,81.4,3100
김준태,24 C,0.054,18,3,57.1,41,39,2,0,100.0,6.44,-0.01,,0.21,,,-0.44,0.34,,0.0,-0.02,0.6,0.6,0.0,108358,0.15,23,0.15,0.0,30,30,25,6,6,2,0,0,8,3,0,0,5,0,0,6,0,0,0,0.24,0.367,0.32,0.687,0.122,91.3,10000
강민성,24 1B,0.037,1,0,2.0,2,2,0,0,100.0,9.0,0.42,,0.01,,,,,,0.43,61.21,-0.02,0.41,0.039,141918,0.01,1,-0.03,0.04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.19,-127.9,3600
강현우,24 C,-0.038,17,5,81.0,76,71,3,2,97.4,8.22,-0.24,,-0.71,,,0.35,-0.9,,-1.23,-9.84,0.82,-0.41,-0.112,146038,0.34,18,0.46,-0.12,36,34,26,4,8,1,0,1,12,8,0,0,8,0,0,10,0,2,0,0.308,0.471,0.462,0.933,0.216,161.1,5000
김건형,24 RF,-0.045,12,9,66.0,22,22,0,0,100.0,3.0,-0.7,0.26,0.2,,,,,,-0.25,-2.72,-0.25,-0.5,-0.022,147798,-0.38,13,-0.35,-0.03,25,25,24,2,3,1,0,0,4,1,0,0,1,0,0,8,0,0,0,0.125,0.16,0.167,0.327,-0.046,-34.1,3000
박경수,24 2B,-0.051,3,0,3.1,2,1,1,0,100.0,5.4,-0.58,,0.02,,,,,,-0.56,-16.22,0.01,-0.55,-0.051,104698,0.05,5,0.11,-0.05,3,3,3,2,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.667,0.667,1.0,1.667,0.487,354.6,20000
안현민,24 LF,-0.097,13,6,52.0,14,13,1,0,100.0,2.42,-1.35,0.46,0.06,,,,,,-0.82,-7.41,-0.24,-1.06,-0.075,150928,-0.07,16,0.01,-0.08,29,29,25,5,5,0,1,1,10,2,0,0,2,1,0,10,0,0,1,0.2,0.276,0.4,0.676,0.091,67.3,3000
배정대,24 CF,-0.559,113,110,958.0,276,266,3,7,97.5,2.53,-5.7,1.1,-1.52,,,,,,-6.12,-7.8,0.0,-6.12,-0.559,112128,0.88,113,1.41,-0.52,473,464,404,49,111,25,1,7,159,59,9,7,50,4,1,114,5,8,7,0.275,0.355,0.394,0.749,0.129,94.1,32000
오재일,24 1B,-0.783,55,43,406.1,360,339,18,3,99.2,7.91,-4.5,,0.5,,-0.42,,,,-4.41,-6.05,-4.16,-8.57,-0.403,104008,-0.45,83,-0.01,-0.43,272,272,232,27,57,13,0,8,94,37,0,0,30,2,0,70,3,0,8,0.246,0.327,0.405,0.732,0.116,84.3,50000
박시영,24 P,,24,0,25.1,5,2,3,0,100.0,1.78,,,,,,,,,0.0,0.0,,,0.0,107378,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,9000
주권,24 P,,48,1,58.0,18,5,12,1,94.4,2.64,,,,,,,,,0.0,0.0,,,0.0,113238,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20000
김영현,24 P,,8,0,7.1,2,0,1,1,50.0,1.23,,,,,,,,,0.0,0.0,,,0.0,148698,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,4100
김민,24 P,,70,1,77.1,13,4,9,0,100.0,1.51,,,,,,,,,0.0,0.0,,,0.0,131678,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,5000
